Number,ID,Complexity,Type,Instruction,Referents,,object_name,x,y,z,Referents_Original,Referents_Cleaned,Referents_AnchorMapped,Referents_Changed,Referents_Unparsed
31,Basic-031,basic,direct,Slide that laptop in front of the desk.,"Laptop1, Desk7",,file1,-0.494,-0.686,2.923,"Laptop1, Desk7","Laptop1, Desk7","laptop1, desk7",false,
32,Basic-032,basic,direct,Tidy that chair carefully.,Chair2,,file2,1.183,-0.686,5.29,Chair2,Chair2,chair2,false,
33,Basic-033,basic,direct,Adjust that chair.,Chair3,,file3,1.282,-1.396,4.766,Chair3,Chair3,chair3,false,
34,Basic-034,basic,direct,Adjust this chair.,Chair1,,file4,4.855,-0.723,1.317,Chair1,Chair1,chair1,false,
35,Basic-035,basic,direct,Slide that chair toward there.,"Chair7, Printer1",,file5,7.184,-0.781,5.959,"Chair7, Printer1","Chair7, Printer1","chair7, printer",false,
36,Basic-036,basic,indirect,Tell the assistant nearby to tidy that file.,"File3, Person2",,pointA,-1.063,-1.58,4.77,"File3, Person2","File3, Person2","file3, person2",false,
37,Basic-037,basic,indirect,Request this colleague to inspect that laptop for battery level.,"Laptop1, Person3",,pointB,8.648,-0.781,0.658,"Laptop1, Person3","Laptop1, Person3","laptop1, person3",false,
38,Basic-038,basic,direct,Slide that chair to there.,"Chair5, Desk3",,pointC,4.291,-0.901,-0.076,"Chair5, Desk3","Chair5, Desk3","chair5, desk3",false,
39,Basic-039,basic,direct,Request this colleague to carry that file in front of the desk.,"File5, Desk4, Person3",,door1,11.08,-0.252,3.98,"File5, Desk4, Person3","File5, Desk4, Person3","file5, desk4, person3",false,
40,Basic-040,basic,direct,Confirm that file for its label.,File5,,printer,1.64,-0.75,4.79,File5,File5,file5,false,
41,Basic-041,basic,direct,Slide that chair next to the desk.,"Chair2, Desk5",,drawer2,0.638,-1.227,5.241,"Chair2, Desk5","Chair2, Desk5","chair2, desk5",false,
42,Basic-042,basic,indirect,Ask this colleague to secure that file.,"File5, Person3",,,,,,"File5, Person3","File5, Person3","file5, person3",false,
43,Basic-043,basic,direct,Slide that laptop next to the desk.,"Laptop1, Desk4",,,,,,"Laptop1, Desk4","Laptop1, Desk4","laptop1, desk4",false,
44,Basic-044,basic,direct,Carry that file near the desk.,"File1, Desk2",,,,,,"File1, Desk2","File1, Desk2","file1, desk2",false,
45,Basic-045,basic,direct,Verify that file for its label.,File3,,,,,,File3,File3,file3,false,
46,Basic-046,basic,direct,Slide that chair close to the desk.,"Chair8, Desk6",,,,,,"Chair8, Desk6","Chair8, Desk6","chair8, desk6",false,
47,Basic-047,basic,indirect,Tell that colleague to arrange that file.,"File1, Person3",,,,,,"File1, Person3","File1, Person3","file1, person3",false,
48,Basic-048,basic,direct,Instruct the assistant nearby to carry that file next to the desk.,"File4, Desk4, Person1",,,,,,"File4, Desk4, Person1","File4, Desk4, Person1","file4, desk4, person1",false,
49,Basic-049,basic,direct,Check that laptop for battery level.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
50,Basic-050,basic,indirect,Tell this colleague to check that desk for clutter.,"Desk8, Person3",,,,,,"Desk8, Person3","Desk8, Person3","desk8, person3",false,
51,Basic-051,basic,indirect,Ask that fellow to adjust that laptop.,"Laptop1, Person2",,,,,,"Laptop1, Person2","Laptop1, Person2","laptop1, person2",false,
52,Basic-052,basic,direct,Carry that file by the desk.,"File4, Desk6",,,,,,"File4, Desk6","File4, Desk6","file4, desk6",false,
53,Basic-053,basic,indirect,Instruct this colleague to push that chair near the desk.,"Chair3, Desk7, Person1",,,,,,"Chair3, Desk7, Person1","Chair3, Desk7, Person1","chair3, desk7, person1",false,
54,Basic-054,basic,direct,Request the person by the desk to verify that file for its label.,"File1, Person2",,,,,,"File1, Person2","File1, Person2","file1, person2",false,
55,Basic-055,basic,direct,Inspect that file for its label.,File3,,,,,,File3,File3,file3,false,
56,Basic-056,basic,direct,Tidy that chair.,Chair5,,,,,,Chair5,Chair5,chair5,false,
57,Basic-057,basic,direct,Push that chair close to the desk.,"Chair7, Desk5",,,,,,"Chair7, Desk5","Chair7, Desk5","chair7, desk5",false,
58,Basic-058,basic,direct,Tidy that chair slightly.,Chair1,,,,,,Chair1,Chair1,chair1,false,
59,Basic-059,basic,direct,Push that chair close to the printer.,"Chair2, Printer1",,,,,,"Chair2, Printer1","Chair2, Printer1","chair2, printer",false,
60,Basic-060,basic,direct,Carry that chair in front of the desk.,"Chair6, Desk2",,,,,,"Chair6, Desk2","Chair6, Desk2","chair6, desk2",false,
61,Basic-061,basic,indirect,Tell the assistant to review that printer for paper and toner.,"Printer1, Person3",,,,,,"Printer1, Person3","Printer1, Person3","printer, person3",false,
62,Basic-062,basic,direct,Carry that file over there.,"File5, Printer1",,,,,,"File5, Printer1","File5, Printer1","file5, printer",false,
63,Basic-063,basic,direct,Tell this colleague to open that drawer.,"Desk4, Person3",,,,,,"Desk4, Person3","Desk4, Person3","desk4, person3",false,
64,Basic-064,basic,direct,Carry that file next to the desk.,"File1, Desk4",,,,,,"File1, Desk4","File1, Desk4","file1, desk4",false,
65,Basic-065,basic,indirect,Request the assistant nearby to move that laptop near there.,"Laptop1, PointB, Person1",,,,,,"Laptop1, PointB, Person1","Laptop1, PointB, Person1","laptop1, pointB, person1",false,
66,Basic-066,basic,indirect,Tell the person by the desk to arrange that chair.,"Chair5, Person1",,,,,,"Chair5, Person1","Chair5, Person1","chair5, person1",false,
67,Basic-067,basic,direct,Tell this colleague to review that desk for clutter.,"Desk8, Person2",,,,,,"Desk8, Person2","Desk8, Person2","desk8, person2",false,
68,Basic-068,basic,direct,Move that chair near the desk.,"Chair7, Desk4",,,,,,"Chair7, Desk4","Chair7, Desk4","chair7, desk4",false,
69,Basic-069,basic,direct,Carry that chair near there.,"Chair3, Desk5",,,,,,"Chair3, Desk5","Chair3, Desk5","chair3, desk5",false,
70,Basic-070,basic,direct,Verify that laptop for battery level.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
71,Basic-071,basic,direct,Inspect that computer for display issues.,PC4,,,,,,PC4,PC4,PC4,false,
72,Basic-072,basic,direct,Push that file by the desk.,"File1, Desk2",,,,,,"File1, Desk2","File1, Desk2","file1, desk2",false,
73,Basic-073,basic,indirect,Request that colleague to check that file for its label.,"File4, Person2",,,,,,"File4, Person2","File4, Person2","file4, person2",false,
74,Basic-074,basic,direct,Confirm that desk for clutter.,Desk7,,,,,,Desk7,Desk7,desk7,false,
75,Basic-075,basic,indirect,Instruct that colleague to arrange that file slightly.,"File2, Person3",,,,,,"File2, Person3","File2, Person3","file2, person3",false,
76,Basic-076,basic,direct,Carry that file by the desk.,"File4, Desk2",,,,,,"File4, Desk2","File4, Desk2","file4, desk2",false,
77,Basic-077,basic,direct,Adjust that chair.,Chair1,,,,,,Chair1,Chair1,chair1,false,
78,Basic-078,basic,direct,Slide that chair toward there.,"Chair7, Desk3",,,,,,"Chair7, Desk3","Chair7, Desk3","chair7, desk3",false,
79,Basic-079,basic,direct,Tell the person by the desk to push that chair in front of the desk.,"Chair1, Desk6, Person1",,,,,,"Chair1, Desk6, Person1","Chair1, Desk6, Person1","chair1, desk6, person1",false,
80,Basic-080,basic,direct,Tell that fellow to carry that chair near the spot.,"Chair4, PointB, Person1",,,,,,"Chair4, PointB, Person1","Chair4, PointB, Person1","chair4, pointB, person1",false,
81,Basic-081,basic,indirect,Request that fellow to inspect that file for its label.,"File3, Person2",,,,,,"File3, Person2","File3, Person2","file3, person2",false,
82,Basic-082,basic,direct,Reposition that laptop to there.,"Laptop2, Desk5",,,,,,"Laptop2, Desk5","Laptop2, Desk5","laptop2, desk5",false,
83,Basic-083,basic,indirect,Tell that colleague to push that laptop near there.,"Laptop2, Desk7, Person3",,,,,,"Laptop2, Desk7, Person3","Laptop2, Desk7, Person3","laptop2, desk7, person3",false,
84,Basic-084,basic,direct,Carry that file to there.,"File5, PointA",,,,,,"File5, PointA","File5, PointA","file5, pointA",false,
85,Basic-085,basic,indirect,Ask this colleague to carry that chair near there.,"Chair4, PointB, Person1",,,,,,"Chair4, PointB, Person1","Chair4, PointB, Person1","chair4, pointB, person1",false,
86,Basic-086,basic,direct,Push that laptop toward there.,"Laptop1, Desk5",,,,,,"Laptop1, Desk5","Laptop1, Desk5","laptop1, desk5",false,
87,Basic-087,basic,direct,Tidy that chair.,Chair4,,,,,,Chair4,Chair4,chair4,false,
88,Basic-088,basic,direct,Adjust that chair.,Chair8,,,,,,Chair8,Chair8,chair8,false,
89,Basic-089,basic,direct,Ask the assistant near the door to arrange that file.,"File1, Person3",,,,,,"File1, Person3","File1, Person3","file1, person3",false,
90,Basic-090,basic,direct,Tidy that file.,File5,,,,,,File5,File5,file5,false,
91,Basic-091,basic,direct,Tidy that chair.,Chair3,,,,,,Chair3,Chair3,chair3,false,
92,Basic-092,basic,direct,Check that computer for display issues.,PC1,,,,,,PC1,PC1,PC1,false,
93,Basic-093,basic,indirect,Instruct the assistant nearby to arrange that chair.,"Chair8, Person2",,,,,,"Chair8, Person2","Chair8, Person2","chair8, person2",false,
94,Basic-094,basic,direct,Ask that fellow to place that chair by the desk.,"Chair8, Desk7, Person1",,,,,,"Chair8, Desk7, Person1","Chair8, Desk7, Person1","chair8, desk7, person1",false,
95,Basic-095,basic,direct,Request the assistant nearby to push that chair next to the door.,"Chair8, Door1, Person3",,,,,,"Chair8, Door1, Person3","Chair8, Door1, Person3","chair8, door1, person3",false,
96,Basic-096,basic,direct,Reposition that chair next to the desk.,"Chair2, Desk6",,,,,,"Chair2, Desk6","Chair2, Desk6","chair2, desk6",false,
97,Basic-097,basic,direct,Confirm that desk for clutter.,Desk2,,,,,,Desk2,Desk2,desk2,false,
98,Basic-098,basic,direct,Adjust that chair.,Chair1,,,,,,Chair1,Chair1,chair1,false,
99,Basic-099,basic,direct,Instruct that fellow to arrange that file gently.,"File3, Person3",,,,,,"File3, Person3","File3, Person3","file3, person3",false,
100,Basic-100,basic,direct,Tidy that chair.,Chair6,,,,,,Chair6,Chair6,chair6,false,
101,Basic-101,basic,indirect,Ask that colleague to slide that chair near the printer.,"Chair8, Printer1, Person3",,,,,,"Chair8, Printer1, Person3","Chair8, Printer1, Person3","chair8, printer, person3",false,
102,Basic-102,basic,direct,Push that chair over there.,"Chair1, Door1",,,,,,"Chair1, Door1","Chair1, Door1","chair1, door1",false,
103,Basic-103,basic,direct,Inspect that door for scratches.,Door1,,,,,,Door1,Door1,door1,false,
104,Basic-104,basic,direct,Arrange that laptop.,Laptop2,,,,,,Laptop2,Laptop2,laptop2,false,
105,Basic-105,basic,direct,Push that chair in front of the desk.,"Chair5, Desk2",,,,,,"Chair5, Desk2","Chair5, Desk2","chair5, desk2",false,
106,Basic-106,basic,indirect,Instruct the assistant nearby to verify that desk for clutter.,"Desk2, Person1",,,,,,"Desk2, Person1","Desk2, Person1","desk2, person1",false,
107,Basic-107,basic,indirect,Instruct the person  to carry that laptop near the desk.,"Laptop2, Desk5, Person2",,,,,,"Laptop2, Desk5, Person2","Laptop2, Desk5, Person2","laptop2, desk5, person2",false,
108,Basic-108,basic,direct,Request that colleague to tidy that chair.,"Chair1, Person2",,,,,,"Chair1, Person2","Chair1, Person2","chair1, person2",false,
109,Basic-109,basic,direct,Review this computer for display issues.,PC4,,,,,,PC4,PC4,PC4,false,
110,Basic-110,basic,direct,Review that computer for display issues.,PC3,,,,,,PC3,PC3,PC3,false,
111,Basic-111,basic,direct,Review that lamp for brightness.,Lamp2,,,,,,Lamp2,Lamp2,lamp2,false,
112,Basic-112,basic,indirect,Request the person by the desk to slide that laptop to the desk.,"Laptop2, Desk8, Person2",,,,,,"Laptop2, Desk8, Person2","Laptop2, Desk8, Person2","laptop2, desk8, person2",false,
113,Basic-113,basic,direct,Tell that fellow to slide that laptop near there.,"Laptop2, Desk8, Person1",,,,,,"Laptop2, Desk8, Person1","Laptop2, Desk8, Person1","laptop2, desk8, person1",false,
114,Basic-114,basic,direct,Review that computer for display issues.,PC1,,,,,,PC1,PC1,PC1,false,
115,Basic-115,basic,direct,Secure that file.,File2,,,,,,File2,File2,file2,false,
116,Basic-116,basic,indirect,Ask the assistant nearby to tidy that chair.,"Chair6, Person2",,,,,,"Chair6, Person2","Chair6, Person2","chair6, person2",false,
117,Basic-117,basic,indirect,Instruct that colleague to place that chair next to the desk.,"Chair1, Desk4, Person3",,,,,,"Chair1, Desk4, Person3","Chair1, Desk4, Person3","chair1, desk4, person3",false,
118,Basic-118,basic,direct,Confirm that computer for display issues.,PC2,,,,,,PC2,PC2,PC2,false,
119,Basic-119,basic,direct,Review that computer for display issues.,PC3,,,,,,PC3,PC3,PC3,false,
120,Basic-120,basic,direct,Check that lamp for brightness.,Lamp2,,,,,,Lamp2,Lamp2,lamp2,false,
121,Basic-121,basic,direct,Verify that computer for display issues.,PC4,,,,,,PC4,PC4,PC4,false,
122,Basic-122,basic,direct,Reposition that laptop toward there.,"Laptop2, PointC",,,,,,"Laptop2, PointC","Laptop2, PointC","laptop2, pointC",false,
123,Basic-123,basic,indirect,Ask the assistant nearby to slide that chair to there.,"Chair5, Desk8, Person1",,,,,,"Chair5, Desk8, Person1","Chair5, Desk8, Person1","chair5, desk8, person1",false,
124,Basic-124,basic,indirect,Ask that fellow to verify that file for its label.,"File3, Person2",,,,,,"File3, Person2","File3, Person2","file3, person2",false,
125,Basic-125,basic,indirect,Request that colleague to open this drawer.,"Desk1, Person1",,,,,,"Desk1, Person1","Desk1, Person1","desk1, person1",false,
126,Basic-126,basic,indirect,Tell the assistant nearby to reposition that chair over there.,"Chair6, PointA, Person2",,,,,,"Chair6, PointA, Person2","Chair6, PointA, Person2","chair6, pointA, person2",false,
127,Basic-127,basic,direct,Reposition that chair to there.,"Chair2, Desk8",,,,,,"Chair2, Desk8","Chair2, Desk8","chair2, desk8",false,
128,Basic-128,basic,direct,Check that computer for display issues.,PC6,,,,,,PC6,PC6,PC6,false,
129,Basic-129,basic,indirect,Tell that fellow to place that file to there.,"File5, PointC, Person3",,,,,,"File5, PointC, Person3","File5, PointC, Person3","file5, pointC, person3",false,
130,Basic-130,basic,direct,Place that file in front of the door.,"File5, Door1",,,,,,"File5, Door1","File5, Door1","file5, door1",false,
131,Basic-131,basic,indirect,Request that fellow to secure that file.,"File5, Person1",,,,,,"File5, Person1","File5, Person1","file5, person1",false,
132,Basic-132,basic,direct,Secure that laptop.,Laptop1,,,,,,Laptop1,Laptop1,laptop1,false,
133,Basic-133,basic,indirect,Request the person by the desk to arrange that file slightly.,"File3, Person2",,,,,,"File3, Person2","File3, Person2","file3, person2",false,
134,Basic-134,basic,indirect,Tell that colleague to check that file for its label.,"File4, Person3",,,,,,"File4, Person3","File4, Person3","file4, person3",false,
135,Basic-135,basic,indirect,Tell the assistant nearby to verify that file for its label.,"File1, Person1",,,,,,"File1, Person1","File1, Person1","file1, person1",false,
136,Basic-136,basic,direct,Review that computer for display issues.,PC5,,,,,,PC5,PC5,PC5,false,
137,Basic-137,basic,indirect,Instruct the person to confirm that computer for display issues.,"PC5, Person3",,,,,,"PC5, Person3","PC5, Person3","PC5, person3",false,
138,Basic-138,basic,direct,Place that chair over there.,"Chair6, Desk1",,,,,,"Chair6, Desk1","Chair6, Desk1","chair6, desk1",false,
139,Basic-139,basic,direct,Slide that chair next to the desk.,"Chair4, Desk8",,,,,,"Chair4, Desk8","Chair4, Desk8","chair4, desk8",false,
140,Basic-140,basic,direct,Tell that fellow to carry that chair to there.,"Chair7, Desk7, Person2",,,,,,"Chair7, Desk7, Person2","Chair7, Desk7, Person2","chair7, desk7, person2",false,
141,Basic-141,basic,direct,Tidy that chair.,Chair3,,,,,,Chair3,Chair3,chair3,false,
142,Basic-142,basic,direct,Adjust that chair.,Chair5,,,,,,Chair5,Chair5,chair5,false,
143,Basic-143,basic,direct,Slide that chair near there.,"Chair3, PointA",,,,,,"Chair3, PointA","Chair3, PointA","chair3, pointA",false,
144,Basic-144,basic,direct,Request that colleague to arrange that drawer.,"Desk1, Person1",,,,,,"Desk1, Person1","Desk1, Person1","desk1, person1",false,
145,Basic-145,basic,direct,Arrange that chair.,Chair2,,,,,,Chair2,Chair2,chair2,false,
146,Basic-146,basic,indirect,Ask that fellow to carry that file to the printer.,"File2, Printer1, Person2",,,,,,"File2, Printer1, Person2","File2, Printer1, Person2","file2, printer, person2",false,
147,Basic-147,basic,direct,Push that chair toward there.,"Chair4, Desk6",,,,,,"Chair4, Desk6","Chair4, Desk6","chair4, desk6",false,
148,Basic-148,basic,direct,Arrange that chair slightly.,Chair2,,,,,,Chair2,Chair2,chair2,false,
149,Basic-149,basic,direct,Carry that chair to there.,"Chair6, Desk3",,,,,,"Chair6, Desk3","Chair6, Desk3","chair6, desk3",false,
150,Basic-150,basic,direct,Carry that chair to there.,"Chair8, Desk1",,,,,,"Chair8, Desk1","Chair8, Desk1","chair8, desk1",false,
151,Basic-151,basic,direct,Place that file over there.,"File3, Printer1",,,,,,"File3, Printer1","File3, Printer1","file3, printer",false,
152,Basic-152,basic,indirect,Instruct this colleague to push that laptop in front of the desk.,"Laptop1, Desk7, Person1",,,,,,"Laptop1, Desk7, Person1","Laptop1, Desk7, Person1","laptop1, desk7, person1",false,
153,Basic-153,basic,direct,Tidy that drawer.,Desk4,,,,,,Desk4,Desk4,desk4,false,
154,Basic-154,basic,direct,Arrange that chair.,Chair5,,,,,,Chair5,Chair5,chair5,false,
155,Basic-155,basic,direct,Push that chair by the door.,"Chair4, Door1",,,,,,"Chair4, Door1","Chair4, Door1","chair4, door1",false,
156,Basic-156,basic,indirect,Tell the person by the desk to tidy that laptop.,"Laptop2, Person1",,,,,,"Laptop2, Person1","Laptop2, Person1","laptop2, person1",false,
157,Basic-157,basic,indirect,Ask the person by the door to inspect that file for its label.,"File1, Person3",,,,,,"File1, Person3","File1, Person3","file1, person3",false,
158,Basic-158,basic,direct,Slide that chair near there.,"Chair3, Desk3",,,,,,"Chair3, Desk3","Chair3, Desk3","chair3, desk3",false,
159,Basic-159,basic,direct,Carry that file to there.,"File1, Desk5",,,,,,"File1, Desk5","File1, Desk5","file1, desk5",false,
160,Basic-160,basic,indirect,Instruct the person by the desk to slide that chair near the printer.,"Chair3, Printer1, Person1",,,,,,"Chair3, Printer1, Person1","Chair3, Printer1, Person1","chair3, printer, person1",false,
161,Basic-161,basic,direct,Tell that colleague to place that file by the desk.,"File1, Desk4, Person3",,,,,,"File1, Desk4, Person3","File1, Desk4, Person3","file1, desk4, person3",false,
162,Basic-162,basic,direct,Check that desk for clutter.,Desk2,,,,,,Desk2,Desk2,desk2,false,
163,Basic-163,basic,direct,Inspect that door for scratches.,Door1,,,,,,Door1,Door1,door1,false,
164,Basic-164,basic,direct,Verify that file for its label.,File2,,,,,,File2,File2,file2,false,
165,Basic-165,basic,direct,Close that drawer.,Desk1,,,,,,Desk1,Desk1,desk1,false,
166,Basic-166,basic,direct,Reposition that file near the desk.,"File2, Desk3",,,,,,"File2, Desk3","File2, Desk3","file2, desk3",false,
167,Basic-167,basic,direct,Slide that laptop next to the desk.,"Laptop2, Desk1",,,,,,"Laptop2, Desk1","Laptop2, Desk1","laptop2, desk1",false,
168,Basic-168,basic,direct,Carry that file toward there.,"File5, Door1",,,,,,"File5, Door1","File5, Door1","file5, door1",false,
169,Basic-169,basic,indirect,Request the person by the desk to review that file for its label.,"File3, Person2",,,,,,"File3, Person2","File3, Person2","file3, person2",false,
170,Basic-170,basic,indirect,Instruct the person by the door to arrange that chair slightly.,"Chair1, Person3",,,,,,"Chair1, Person3","Chair1, Person3","chair1, person3",false,
171,Basic-171,basic,direct,Tidy that drawer.,Desk6,,,,,,Desk6,Desk6,desk6,false,
172,Basic-172,basic,indirect,Tell the assistant nearby to tidy that file.,"File5, Person3",,,,,,"File5, Person3","File5, Person3","file5, person3",false,
173,Basic-173,basic,direct,Arrange that chair.,Chair4,,,,,,Chair4,Chair4,chair4,false,
174,Basic-174,basic,direct,Place that chair near there.,"Chair8, Printer1",,,,,,"Chair8, Printer1","Chair8, Printer1","chair8, printer",false,
175,Basic-175,basic,indirect,Tell that fellow to confirm that desk for clutter.,"Desk1, Person3",,,,,,"Desk1, Person3","Desk1, Person3","desk1, person3",false,
176,Basic-176,basic,direct,Check that desk for clutter.,Desk6,,,,,,Desk6,Desk6,desk6,false,
177,Basic-177,basic,indirect,Ask that fellow to carry that chair close to the desk.,"Chair5, Desk2, Person3",,,,,,"Chair5, Desk2, Person3","Chair5, Desk2, Person3","chair5, desk2, person3",false,
178,Basic-178,basic,direct,Push that laptop near there.,"Laptop2, Desk3",,,,,,"Laptop2, Desk3","Laptop2, Desk3","laptop2, desk3",false,
179,Basic-179,basic,direct,Reposition that chair near here.,"Chair8, Desk1",,,,,,"Chair8, Desk1","Chair8, Desk1","chair8, desk1",false,
180,Basic-180,basic,direct,Adjust that chair.,Chair3,,,,,,Chair3,Chair3,chair3,false,
181,Basic-181,basic,direct,Verify that lamp for brightness.,Lamp3,,,,,,Lamp3,Lamp3,lamp3,false,
182,Basic-182,basic,direct,Arrange that chair.,Chair5,,,,,,Chair5,Chair5,chair5,false,
183,Basic-183,basic,direct,Instruct that colleague to secure that file.,"File5, Person1",,,,,,"File5, Person1","File5, Person1","file5, person1",false,
184,Basic-184,basic,indirect,Request the assistant nearby to review that computer for display issues.,"PC5, Person1",,,,,,"PC5, Person1","PC5, Person1","PC5, person1",false,
185,Basic-185,basic,direct,Reposition that laptop near the desk.,"Laptop2, Desk2",,,,,,"Laptop2, Desk2","Laptop2, Desk2","laptop2, desk2",false,
186,Basic-186,basic,direct,Push that laptop to there.,"Laptop2, PointC",,,,,,"Laptop2, PointC","Laptop2, PointC","laptop2, pointC",false,
187,Basic-187,basic,direct,Ask this colleague to tidy that file.,"File4, Person1",,,,,,"File4, Person1","File4, Person1","file4, person1",false,
188,Basic-188,basic,direct,Tidy that chair carefully.,Chair4,,,,,,Chair4,Chair4,chair4,false,
189,Basic-189,basic,direct,Arrange that chair.,Chair6,,,,,,Chair6,Chair6,chair6,false,
190,Basic-190,basic,direct,Move that chair near the desk.,"Chair1, Desk3",,,,,,"Chair1, Desk3","Chair1, Desk3","chair1, desk3",false,
191,Basic-191,basic,direct,Request the person by the door to reposition that file toward there.,"File5, Desk1, Person3",,,,,,"File5, Desk1, Person3","File5, Desk1, Person3","file5, desk1, person3",false,
192,Basic-192,basic,indirect,Tell that colleague to arrange that chair.,"Chair1, Person1",,,,,,"Chair1, Person1","Chair1, Person1","chair1, person1",false,
193,Basic-193,basic,direct,Reposition that file near the printer.,"File4, Printer1",,,,,,"File4, Printer1","File4, Printer1","file4, printer",false,
194,Basic-194,basic,direct,Push that file to there.,"File5, Desk5",,,,,,"File5, Desk5","File5, Desk5","file5, desk5",false,
