scene,row_index,event_id,referent_name,panel_id,gt_x,gt_y,projection_valid,status
scene1,15,scene1_16,cargo1,P3,913.88,831.68,True,point_evaluable
scene1,16,scene1_17,cargo1,P1,924.79,846.27,True,point_evaluable
scene1,16,scene1_17,cargo1,P2,929.40,854.35,True,point_evaluable
scene1,16,scene1_17,cargo1,P3,1030.68,826.49,True,point_evaluable
scene1,17,scene1_18,helicopter1,P1,1014.00,820.36,True,point_evaluable
scene1,17,scene1_18,helicopter1,P2,1023.21,821.10,True,point_evaluable
scene1,17,scene1_18,helicopter1,P3,1033.76,823.81,True,point_evaluable
scene1,18,scene1_19,truck2,P1,863.48,930.85,True,point_evaluable
scene1,18,scene1_19,truck2,P2,861.01,940.70,True,point_evaluable
scene1,18,scene1_19,truck2,P3,815.53,924.19,True,point_evaluable
scene1,19,scene1_20,cargo2,P1,1064.00,916.50,True,point_evaluable
scene1,19,scene1_20,cargo2,P2,1111.89,916.10,True,point_evaluable
scene1,19,scene1_20,cargo2,P3,1913.26,1055.23,True,point_evaluable
scene1,20,scene1_21,cargo2,P1,1151.57,927.36,True,point_evaluable
scene1,20,scene1_21,cargo2,P2,1150.23,910.57,True,point_evaluable
scene1,20,scene1_21,cargo2,P3,1597.89,888.70,True,point_evaluable
scene1,21,scene1_22,person3,P1,1107.02,913.07,True,point_evaluable
scene1,21,scene1_22,person3,P2,1120.81,917.17,True,point_evaluable
scene1,21,scene1_22,person3,P3,,,False,projection_invalid
scene1,22,scene1_23,cargo2,P1,,,False,projection_invalid
scene1,22,scene1_23,cargo2,P2,,,False,projection_invalid
scene1,22,scene1_23,cargo2,P3,,,False,projection_invalid
scene1,23,scene1_24,building7,P1,1079.80,849.70,True,point_evaluable
scene1,23,scene1_24,building7,P2,1073.28,874.12,True,point_evaluable
scene1,23,scene1_24,building7,P3,1091.47,888.19,True,point_evaluable
scene1,24,scene1_25,platform1,P1,881.10,814.09,True,point_evaluable
scene1,24,scene1_25,platform1,P2,896.02,850.05,True,point_evaluable
scene1,24,scene1_25,platform1,P3,896.99,850.00,True,point_evaluable
scene1,25,scene1_26,cargo1,P1,922.65,834.82,True,point_evaluable
scene1,25,scene1_26,cargo1,P2,931.90,838.57,True,point_evaluable
scene1,25,scene1_26,cargo1,P3,1066.15,943.38,True,point_evaluable
scene1,26,scene1_27,building1,P1,761.36,930.99,True,point_evaluable
scene1,26,scene1_27,building1,P2,773.54,925.37,True,point_evaluable
scene1,26,scene1_27,building1,P3,569.74,905.02,True,point_evaluable
scene1,27,scene1_28,forklift2,P1,1001.63,992.95,True,point_evaluable
scene1,27,scene1_28,forklift2,P2,1006.90,998.97,True,point_evaluable
scene1,27,scene1_28,forklift2,P3,1017.70,1006.87,True,point_evaluable
scene1,28,scene1_29,cargo2,P1,1128.12,877.38,True,point_evaluable
scene1,28,scene1_29,cargo2,P2,1135.16,882.67,True,point_evaluable
scene1,28,scene1_29,cargo2,P3,1142.24,880.99,True,point_evaluable
scene1,29,scene1_30,cargo1,P1,923.31,795.30,True,point_evaluable
scene1,29,scene1_30,cargo1,P2,923.56,834.11,True,point_evaluable
scene1,29,scene1_30,cargo1,P3,935.47,831.62,True,point_evaluable
scene1,30,scene1_31,platform1,P1,880.63,851.11,True,point_evaluable
scene1,30,scene1_31,platform1,P2,881.91,861.24,True,point_evaluable
scene1,30,scene1_31,platform1,P3,947.46,854.69,True,point_evaluable
scene1,31,scene1_32,building1,P1,,,False,projection_invalid
scene1,31,scene1_32,building1,P2,779.33,927.33,True,point_evaluable
scene1,31,scene1_32,building1,P3,766.92,927.99,True,point_evaluable
scene1,32,scene1_33,cargo1,P1,933.50,788.87,True,point_evaluable
scene1,32,scene1_33,cargo1,P2,943.43,843.42,True,point_evaluable
scene1,32,scene1_33,cargo1,P3,1015.80,802.78,True,point_evaluable
scene1,33,scene1_34,cargo1,P1,994.72,843.27,True,point_evaluable
scene1,33,scene1_34,cargo1,P2,974.82,852.06,True,point_evaluable
scene1,33,scene1_34,cargo1,P3,1035.68,816.07,True,point_evaluable
scene1,34,scene1_35,cargo1,P1,931.61,816.84,True,point_evaluable
scene1,34,scene1_35,cargo1,P2,927.43,842.51,True,point_evaluable
scene1,34,scene1_35,cargo1,P3,931.51,849.82,True,point_evaluable
scene1,35,scene1_36,cargo1,P1,904.17,820.82,True,point_evaluable
scene1,35,scene1_36,cargo1,P2,905.31,827.22,True,point_evaluable
scene1,35,scene1_36,cargo1,P3,957.18,826.48,True,point_evaluable
scene1,36,scene1_37,building3,P1,881.46,859.29,True,point_evaluable
scene1,36,scene1_37,building3,P2,872.71,854.98,True,point_evaluable
scene1,36,scene1_37,building3,P3,867.56,853.88,True,point_evaluable
scene1,37,scene1_38,building1,P1,748.87,916.01,True,point_evaluable
scene1,37,scene1_38,building1,P2,759.58,937.16,True,point_evaluable
scene1,37,scene1_38,building1,P3,313.10,930.48,True,point_evaluable
scene1,38,scene1_39,cargo2,P1,1134.51,907.88,True,point_evaluable
scene1,38,scene1_39,cargo2,P2,1153.74,903.89,True,point_evaluable
scene1,38,scene1_39,cargo2,P3,,,False,projection_invalid
scene1,39,scene1_40,cargo2,P1,1088.37,883.40,True,point_evaluable
scene1,39,scene1_40,cargo2,P2,1096.82,878.61,True,point_evaluable
scene1,39,scene1_40,cargo2,P3,,,False,projection_invalid
scene1,40,scene1_41,building9,P1,1101.66,943.93,True,point_evaluable
scene1,40,scene1_41,building9,P2,1109.36,942.38,True,point_evaluable
scene1,40,scene1_41,building9,P3,1113.15,937.96,True,point_evaluable
scene1,41,scene1_42,cargo2,P1,1094.26,892.61,True,point_evaluable
scene1,41,scene1_42,cargo2,P2,1102.80,895.21,True,point_evaluable
scene1,41,scene1_42,cargo2,P3,,,False,projection_invalid
scene1,42,scene1_43,cargo2,P1,1098.00,895.15,True,point_evaluable
scene1,42,scene1_43,cargo2,P2,1098.98,891.53,True,point_evaluable
scene1,42,scene1_43,cargo2,P3,1110.42,878.78,True,point_evaluable
scene1,43,scene1_44,person3,P1,1123.37,901.59,True,point_evaluable
scene1,43,scene1_44,person3,P2,1131.72,902.93,True,point_evaluable
scene1,43,scene1_44,person3,P3,,,False,projection_invalid
scene1,44,scene1_45,cargo2,P1,,,False,projection_invalid
scene1,44,scene1_45,cargo2,P2,,,False,projection_invalid
scene1,44,scene1_45,cargo2,P3,,,False,projection_invalid
scene1,45,scene1_46,person1,P1,805.38,865.32,True,point_evaluable
scene1,45,scene1_46,person1,P2,788.18,882.88,True,point_evaluable
scene1,45,scene1_46,person1,P3,783.30,884.24,True,point_evaluable
scene1,46,scene1_47,forklift1,P1,850.86,981.68,True,point_evaluable
scene1,46,scene1_47,forklift1,P2,846.51,976.85,True,point_evaluable
scene1,46,scene1_47,forklift1,P3,843.93,979.79,True,point_evaluable
scene1,47,scene1_48,person3,P1,1097.56,900.10,True,point_evaluable
scene1,47,scene1_48,person3,P2,1130.45,903.72,True,point_evaluable
scene1,47,scene1_48,person3,P3,1134.22,897.87,True,point_evaluable
scene1,48,scene1_49,forklift2,P1,894.36,958.44,True,point_evaluable
scene1,48,scene1_49,forklift2,P2,897.87,962.11,True,point_evaluable
scene1,48,scene1_49,forklift2,P3,775.97,1148.81,True,point_evaluable
scene1,49,scene1_50,cargo2,P1,1066.71,897.92,True,point_evaluable
scene1,49,scene1_50,cargo2,P2,1098.07,904.69,True,point_evaluable
scene1,49,scene1_50,cargo2,P3,1570.95,887.44,True,point_evaluable
scene1,50,scene1_51,helicopter2,P1,1059.63,833.46,True,point_evaluable
scene1,50,scene1_51,helicopter2,P2,1064.39,834.73,True,point_evaluable
scene1,50,scene1_51,helicopter2,P3,1087.58,832.37,True,point_evaluable
scene1,51,scene1_52,cargo1,P1,937.08,818.11,True,point_evaluable
scene1,51,scene1_52,cargo1,P2,982.87,869.21,True,point_evaluable
scene1,51,scene1_52,cargo1,P3,996.94,868.00,True,point_evaluable
scene1,52,scene1_53,cargo2,P1,1082.20,889.56,True,point_evaluable
scene1,52,scene1_53,cargo2,P2,1102.97,892.50,True,point_evaluable
scene1,52,scene1_53,cargo2,P3,1576.05,936.61,True,point_evaluable
scene1,53,scene1_54,cargo2,P1,1088.19,869.58,True,point_evaluable
scene1,53,scene1_54,cargo2,P2,1096.23,863.66,True,point_evaluable
scene1,53,scene1_54,cargo2,P3,,,False,projection_invalid
scene1,54,scene1_55,cargo1,P1,1263.21,828.35,True,point_evaluable
scene1,54,scene1_55,cargo1,P2,1289.73,855.91,True,point_evaluable
scene1,54,scene1_55,cargo1,P3,1189.43,819.95,True,point_evaluable
scene1,55,scene1_56,building1,P1,773.16,909.13,True,point_evaluable
scene1,55,scene1_56,building1,P2,791.45,908.62,True,point_evaluable
scene1,55,scene1_56,building1,P3,403.27,906.73,True,point_evaluable
scene1,56,scene1_57,building6,P1,965.15,874.02,True,point_evaluable
scene1,56,scene1_57,building6,P2,973.82,883.82,True,point_evaluable
scene1,56,scene1_57,building6,P3,990.60,895.18,True,point_evaluable
scene1,57,scene1_58,building9,P1,1136.83,933.58,True,point_evaluable
scene1,57,scene1_58,building9,P2,1155.31,934.32,True,point_evaluable
scene1,57,scene1_58,building9,P3,,,False,projection_invalid
scene1,58,scene1_59,building9,P1,1152.70,918.35,True,point_evaluable
scene1,58,scene1_59,building9,P2,1154.28,919.77,True,point_evaluable
scene1,58,scene1_59,building9,P3,,,False,projection_invalid
scene1,59,scene1_60,cargo1,P1,940.21,772.71,True,point_evaluable
scene1,59,scene1_60,cargo1,P2,954.47,807.74,True,point_evaluable
scene1,59,scene1_60,cargo1,P3,993.00,811.08,True,point_evaluable
scene1,60,scene1_61,cargo1,P1,910.94,683.07,True,point_evaluable
scene1,60,scene1_61,cargo1,P2,935.85,830.33,True,point_evaluable
scene1,60,scene1_61,cargo1,P3,927.31,831.08,True,point_evaluable
scene1,61,scene1_62,cargo1,P1,933.35,788.44,True,point_evaluable
scene1,61,scene1_62,cargo1,P2,928.17,806.99,True,point_evaluable
scene1,61,scene1_62,cargo1,P3,923.20,821.12,True,point_evaluable
scene1,62,scene1_63,cargo1,P1,317.94,855.50,True,point_evaluable
scene1,62,scene1_63,cargo1,P2,411.16,869.56,True,point_evaluable
scene1,62,scene1_63,cargo1,P3,867.79,775.62,True,point_evaluable
scene1,63,scene1_64,cargo2,P1,1115.57,897.86,True,point_evaluable
scene1,63,scene1_64,cargo2,P2,1126.73,901.17,True,point_evaluable
scene1,63,scene1_64,cargo2,P3,1504.86,966.91,True,point_evaluable
scene1,64,scene1_65,cargo1,P1,935.21,792.63,True,point_evaluable
scene1,64,scene1_65,cargo1,P2,916.14,821.53,True,point_evaluable
scene1,64,scene1_65,cargo1,P3,934.70,774.67,True,point_evaluable
scene1,65,scene1_66,cargo1,P1,943.11,776.99,True,point_evaluable
scene1,65,scene1_66,cargo1,P2,948.14,781.34,True,point_evaluable
scene1,65,scene1_66,cargo1,P3,1014.18,909.52,True,point_evaluable
scene1,66,scene1_67,helicopter1,P1,1016.19,827.13,True,point_evaluable
scene1,66,scene1_67,helicopter1,P2,1019.23,834.95,True,point_evaluable
scene1,66,scene1_67,helicopter1,P3,1023.20,836.83,True,point_evaluable
scene1,67,scene1_68,truck2,P1,855.83,886.45,True,point_evaluable
scene1,67,scene1_68,truck2,P2,849.39,898.81,True,point_evaluable
scene1,67,scene1_68,truck2,P3,851.09,900.39,True,point_evaluable
scene1,68,scene1_69,cargo2,P1,1111.81,897.46,True,point_evaluable
scene1,68,scene1_69,cargo2,P2,1133.63,906.70,True,point_evaluable
scene1,68,scene1_69,cargo2,P3,1145.59,906.74,True,point_evaluable
scene1,69,scene1_70,building4,P1,855.35,851.56,True,point_evaluable
scene1,69,scene1_70,building4,P2,864.31,853.56,True,point_evaluable
scene1,69,scene1_70,building4,P3,873.87,849.83,True,point_evaluable
scene1,70,scene1_71,cargo1,P1,944.34,783.30,True,point_evaluable
scene1,70,scene1_71,cargo1,P2,949.52,812.93,True,point_evaluable
scene1,70,scene1_71,cargo1,P3,1059.32,922.63,True,point_evaluable
scene1,71,scene1_72,cargo2,P1,1090.00,877.34,True,point_evaluable
scene1,71,scene1_72,cargo2,P2,1260.06,875.07,True,point_evaluable
scene1,71,scene1_72,cargo2,P3,1706.57,1112.48,True,point_evaluable
scene1,72,scene1_73,cargo2,P1,1117.26,888.32,True,point_evaluable
scene1,72,scene1_73,cargo2,P2,1086.63,892.38,True,point_evaluable
scene1,72,scene1_73,cargo2,P3,1104.27,884.50,True,point_evaluable
scene1,73,scene1_74,building7,P1,1055.80,868.29,True,point_evaluable
scene1,73,scene1_74,building7,P2,1051.08,876.84,True,point_evaluable
scene1,73,scene1_74,building7,P3,1048.17,879.62,True,point_evaluable
scene1,74,scene1_75,cargo2,P1,1105.67,920.76,True,point_evaluable
scene1,74,scene1_75,cargo2,P2,1123.55,914.41,True,point_evaluable
scene1,74,scene1_75,cargo2,P3,1143.51,919.76,True,point_evaluable
scene1,75,scene1_76,building4,P1,708.21,848.94,True,point_evaluable
scene1,75,scene1_76,building4,P2,681.62,860.27,True,point_evaluable
scene1,75,scene1_76,building4,P3,691.37,842.46,True,point_evaluable
scene1,76,scene1_77,cargo2,P1,1105.61,896.08,True,point_evaluable
scene1,76,scene1_77,cargo2,P2,1122.55,890.73,True,point_evaluable
scene1,76,scene1_77,cargo2,P3,1249.28,890.51,True,point_evaluable
scene1,77,scene1_78,cargo1,P1,931.24,791.85,True,point_evaluable
scene1,77,scene1_78,cargo1,P2,934.72,813.73,True,point_evaluable
scene1,77,scene1_78,cargo1,P3,983.30,776.46,True,point_evaluable
scene1,78,scene1_79,truck2,P1,869.49,904.73,True,point_evaluable
scene1,78,scene1_79,truck2,P2,873.61,915.18,True,point_evaluable
scene1,78,scene1_79,truck2,P3,873.43,1042.94,True,point_evaluable
scene1,79,scene1_80,cargo1,P1,932.33,835.81,True,point_evaluable
scene1,79,scene1_80,cargo1,P2,932.55,840.37,True,point_evaluable
scene1,79,scene1_80,cargo1,P3,937.36,834.02,True,point_evaluable
scene1,80,scene1_81,building3,P1,850.76,883.39,True,point_evaluable
scene1,80,scene1_81,building3,P2,842.42,897.47,True,point_evaluable
scene1,80,scene1_81,building3,P3,843.61,903.12,True,point_evaluable
scene1,81,scene1_82,cargo2,P1,1054.09,869.72,True,point_evaluable
scene1,81,scene1_82,cargo2,P2,1064.73,871.06,True,point_evaluable
scene1,81,scene1_82,cargo2,P3,,,False,projection_invalid
scene1,82,scene1_83,person1,P1,847.26,836.74,True,point_evaluable
scene1,82,scene1_83,person1,P2,845.25,840.19,True,point_evaluable
scene1,82,scene1_83,person1,P3,420.81,854.24,True,point_evaluable
scene1,83,scene1_84,person2,P1,802.47,868.80,True,point_evaluable
scene1,83,scene1_84,person2,P2,802.20,879.33,True,point_evaluable
scene1,83,scene1_84,person2,P3,610.18,850.06,True,point_evaluable
scene1,84,scene1_85,cargo1,P1,930.96,775.11,True,point_evaluable
scene1,84,scene1_85,cargo1,P2,985.12,883.66,True,point_evaluable
scene1,84,scene1_85,cargo1,P3,999.68,1066.81,True,point_evaluable
scene1,85,scene1_86,platform1,P1,883.64,818.68,True,point_evaluable
scene1,85,scene1_86,platform1,P2,927.69,851.06,True,point_evaluable
scene1,85,scene1_86,platform1,P3,978.86,1115.15,True,point_evaluable
scene1,86,scene1_87,cargo1,P1,920.88,826.22,True,point_evaluable
scene1,86,scene1_87,cargo1,P2,914.82,830.51,True,point_evaluable
scene1,86,scene1_87,cargo1,P3,915.79,815.74,True,point_evaluable
scene1,87,scene1_88,cargo2,P1,1082.80,850.48,True,point_evaluable
scene1,87,scene1_88,cargo2,P2,1096.29,851.73,True,point_evaluable
scene1,87,scene1_88,cargo2,P3,1375.38,828.38,True,point_evaluable
scene1,88,scene1_89,building4,P1,745.94,837.46,True,point_evaluable
scene1,88,scene1_89,building4,P2,751.54,828.75,True,point_evaluable
scene1,88,scene1_89,building4,P3,753.74,823.94,True,point_evaluable
scene1,89,scene1_90,person2,P1,864.06,875.39,True,point_evaluable
scene1,89,scene1_90,person2,P2,869.21,884.65,True,point_evaluable
scene1,89,scene1_90,person2,P3,663.20,844.18,True,point_evaluable
scene1,90,scene1_91,cargo1,P1,948.55,844.40,True,point_evaluable
scene1,90,scene1_91,cargo1,P2,956.35,850.56,True,point_evaluable
scene1,90,scene1_91,cargo1,P3,959.65,847.80,True,point_evaluable
scene1,91,scene1_92,cargo1,P1,953.94,840.51,True,point_evaluable
scene1,91,scene1_92,cargo1,P2,966.37,876.65,True,point_evaluable
scene1,91,scene1_92,cargo1,P3,996.24,834.43,True,point_evaluable
scene1,92,scene1_93,building7,P1,1135.40,843.92,True,point_evaluable
scene1,92,scene1_93,building7,P2,1099.43,868.38,True,point_evaluable
scene1,92,scene1_93,building7,P3,1122.60,875.17,True,point_evaluable
scene1,93,scene1_94,helicopter2,P1,1049.72,860.34,True,point_evaluable
scene1,93,scene1_94,helicopter2,P2,1063.80,869.51,True,point_evaluable
scene1,93,scene1_94,helicopter2,P3,1536.30,1024.17,True,point_evaluable
scene1,94,scene1_95,building3,P1,961.75,871.83,True,point_evaluable
scene1,94,scene1_95,building3,P2,936.12,878.32,True,point_evaluable
scene1,94,scene1_95,building3,P3,910.04,1012.99,True,point_evaluable
scene1,95,scene1_96,helicopter2,P1,1093.14,853.11,True,point_evaluable
scene1,95,scene1_96,helicopter2,P2,1112.57,853.91,True,point_evaluable
scene1,95,scene1_96,helicopter2,P3,1359.45,828.40,True,point_evaluable
scene1,96,scene1_97,cargo2,P1,1111.95,906.05,True,point_evaluable
scene1,96,scene1_97,cargo2,P2,1112.14,923.86,True,point_evaluable
scene1,96,scene1_97,cargo2,P3,1124.86,921.64,True,point_evaluable
scene1,97,scene1_98,cargo1,P1,933.54,818.82,True,point_evaluable
scene1,97,scene1_98,cargo1,P2,971.38,864.15,True,point_evaluable
scene1,97,scene1_98,cargo1,P3,1012.73,955.87,True,point_evaluable
scene1,98,scene1_99,building3,P1,844.81,920.85,True,point_evaluable
scene1,98,scene1_99,building3,P2,868.12,921.61,True,point_evaluable
scene1,98,scene1_99,building3,P3,859.49,874.42,True,point_evaluable
scene1,99,scene1_100,building4,P1,771.10,865.41,True,point_evaluable
scene1,99,scene1_100,building4,P2,778.26,888.94,True,point_evaluable
scene1,99,scene1_100,building4,P3,788.06,902.30,True,point_evaluable
scene1,100,scene1_101,cargo2,P1,1099.21,923.69,True,point_evaluable
scene1,100,scene1_101,cargo2,P2,1102.14,918.80,True,point_evaluable
scene1,100,scene1_101,cargo2,P3,1676.95,937.15,True,point_evaluable
scene1,101,scene1_102,person3,P1,1055.65,866.38,True,point_evaluable
scene1,101,scene1_102,person3,P2,1061.80,870.62,True,point_evaluable
scene1,101,scene1_102,person3,P3,,,False,projection_invalid
scene1,102,scene1_103,cargo2,P1,1112.93,887.02,True,point_evaluable
scene1,102,scene1_103,cargo2,P2,1128.68,882.16,True,point_evaluable
scene1,102,scene1_103,cargo2,P3,,,False,projection_invalid
scene1,103,scene1_104,building5,P1,1015.23,860.28,True,point_evaluable
scene1,103,scene1_104,building5,P2,1047.63,891.77,True,point_evaluable
scene1,103,scene1_104,building5,P3,1342.60,938.45,True,point_evaluable
scene1,104,scene1_105,cargo2,P1,1065.47,891.78,True,point_evaluable
scene1,104,scene1_105,cargo2,P2,1083.95,895.38,True,point_evaluable
scene1,104,scene1_105,cargo2,P3,1112.64,894.88,True,point_evaluable
scene1,105,scene1_106,cargo2,P1,1086.42,933.33,True,point_evaluable
scene1,105,scene1_106,cargo2,P2,1108.05,939.98,True,point_evaluable
scene1,105,scene1_106,cargo2,P3,1600.88,899.03,True,point_evaluable
scene1,106,scene1_107,building9,P1,1075.96,886.87,True,point_evaluable
scene1,106,scene1_107,building9,P2,1094.02,912.48,True,point_evaluable
scene1,106,scene1_107,building9,P3,1751.68,899.43,True,point_evaluable
scene1,107,scene1_108,building2,P1,828.38,893.35,True,point_evaluable
scene1,107,scene1_108,building2,P2,839.99,920.79,True,point_evaluable
scene1,107,scene1_108,building2,P3,840.33,920.66,True,point_evaluable
scene1,108,scene1_109,cargo2,P1,1081.10,910.86,True,point_evaluable
scene1,108,scene1_109,cargo2,P2,1433.47,892.52,True,point_evaluable
scene1,108,scene1_109,cargo2,P3,,,False,projection_invalid
scene1,109,scene1_110,cargo1,P1,924.30,803.29,True,point_evaluable
scene1,109,scene1_110,cargo1,P2,924.31,817.34,True,point_evaluable
scene1,109,scene1_110,cargo1,P3,908.83,832.80,True,point_evaluable
scene1,110,scene1_111,cargo1,P1,930.16,816.49,True,point_evaluable
scene1,110,scene1_111,cargo1,P2,935.50,827.09,True,point_evaluable
scene1,110,scene1_111,cargo1,P3,1001.08,957.80,True,point_evaluable
scene1,111,scene1_112,cargo2,P1,1095.33,886.93,True,point_evaluable
scene1,111,scene1_112,cargo2,P2,1096.37,892.68,True,point_evaluable
scene1,111,scene1_112,cargo2,P3,1094.16,890.66,True,point_evaluable
scene1,112,scene1_113,cargo2,P1,1088.03,884.77,True,point_evaluable
scene1,112,scene1_113,cargo2,P2,1105.52,883.39,True,point_evaluable
scene1,112,scene1_113,cargo2,P3,1136.53,871.46,True,point_evaluable
scene1,113,scene1_114,building7,P1,1100.98,904.15,True,point_evaluable
scene1,113,scene1_114,building7,P2,1115.78,922.62,True,point_evaluable
scene1,113,scene1_114,building7,P3,1117.81,917.19,True,point_evaluable
scene1,114,scene1_115,cargo2,P1,1084.18,894.18,True,point_evaluable
scene1,114,scene1_115,cargo2,P2,1082.37,905.67,True,point_evaluable
scene1,114,scene1_115,cargo2,P3,1095.29,904.15,True,point_evaluable
scene1,115,scene1_116,building1,P1,810.51,899.64,True,point_evaluable
scene1,115,scene1_116,building1,P2,818.94,923.41,True,point_evaluable
scene1,115,scene1_116,building1,P3,820.91,929.91,True,point_evaluable
scene1,116,scene1_117,cargo1,P1,927.17,819.11,True,point_evaluable
scene1,116,scene1_117,cargo1,P2,935.58,836.27,True,point_evaluable
scene1,116,scene1_117,cargo1,P3,932.42,854.67,True,point_evaluable
scene1,117,scene1_118,cargo2,P1,1114.94,894.67,True,point_evaluable
scene1,117,scene1_118,cargo2,P2,1117.17,895.07,True,point_evaluable
scene1,117,scene1_118,cargo2,P3,1532.29,879.16,True,point_evaluable
scene1,118,scene1_119,cargo2,P1,1107.87,897.21,True,point_evaluable
scene1,118,scene1_119,cargo2,P2,1115.67,895.82,True,point_evaluable
scene1,118,scene1_119,cargo2,P3,1130.40,893.01,True,point_evaluable
scene1,119,scene1_120,cargo1,P1,944.24,831.62,True,point_evaluable
scene1,119,scene1_120,cargo1,P2,954.08,872.28,True,point_evaluable
scene1,119,scene1_120,cargo1,P3,958.32,851.26,True,point_evaluable
scene1,120,scene1_121,cargo1,P1,931.66,819.61,True,point_evaluable
scene1,120,scene1_121,cargo1,P2,932.96,817.81,True,point_evaluable
scene1,120,scene1_121,cargo1,P3,937.64,820.04,True,point_evaluable
scene1,121,scene1_122,cargo2,P1,1111.01,904.67,True,point_evaluable
scene1,121,scene1_122,cargo2,P2,1121.60,885.61,True,point_evaluable
scene1,121,scene1_122,cargo2,P3,1128.44,889.36,True,point_evaluable
scene1,122,scene1_123,building10,P1,426.57,911.44,True,point_evaluable
scene1,122,scene1_123,building10,P2,429.41,906.67,True,point_evaluable
scene1,122,scene1_123,building10,P3,1265.26,1027.35,True,point_evaluable
scene1,123,scene1_124,cargo1,P1,943.65,805.72,True,point_evaluable
scene1,123,scene1_124,cargo1,P2,956.81,838.25,True,point_evaluable
scene1,123,scene1_124,cargo1,P3,1014.17,952.56,True,point_evaluable
scene1,124,scene1_125,cargo1,P1,940.32,822.96,True,point_evaluable
scene1,124,scene1_125,cargo1,P2,940.80,837.98,True,point_evaluable
scene1,124,scene1_125,cargo1,P3,942.39,846.99,True,point_evaluable
scene1,125,scene1_126,cargo2,P1,1068.32,871.12,True,point_evaluable
scene1,125,scene1_126,cargo2,P2,1075.10,862.00,True,point_evaluable
scene1,125,scene1_126,cargo2,P3,1077.24,862.77,True,point_evaluable
scene1,126,scene1_127,helicopter2,P1,1127.11,820.78,True,point_evaluable
scene1,126,scene1_127,helicopter2,P2,1130.93,814.57,True,point_evaluable
scene1,126,scene1_127,helicopter2,P3,1135.65,825.42,True,point_evaluable
