scene,row_index,unified_id,panel_id,status,mask_fraction,nearest_sample_time,target_sample_time,masked_file_exists,model_input_uses_masked_path,mask_version
scene1,7,scene1::7,P2,masked,0.17625081,1.708940,1.709,True,True,hand_mask_v1
scene1,7,scene1::7,P3,masked,0.18199409,2.635385,2.635,True,True,hand_mask_v1
scene1,8,scene1::8,P1,masked,0.18221408,1.132936,1.133,True,True,hand_mask_v1
scene1,8,scene1::8,P2,masked,0.18939263,1.697259,1.697,True,True,hand_mask_v1
scene1,8,scene1::8,P3,masked,0.19372857,2.683403,2.683,True,True,hand_mask_v1
scene1,9,scene1::9,P1,masked,0.16083632,1.196914,1.197,True,True,hand_mask_v1
scene1,9,scene1::9,P2,masked,0.16557156,2.199154,2.199,True,True,hand_mask_v1
scene1,9,scene1::9,P3,masked,0.140845,3.183764,3.184,True,True,hand_mask_v1
scene1,10,scene1::10,P1,masked,0.15633219,1.038722,1.039,True,True,hand_mask_v1
scene1,10,scene1::10,P2,masked,0.16356445,1.656420,1.656,True,True,hand_mask_v1
scene1,10,scene1::10,P3,masked,0.16969265,2.608136,2.608,True,True,hand_mask_v1
scene1,11,scene1::11,P1,masked,0.08235569,1.775499,1.775,True,True,hand_mask_v1
scene1,11,scene1::11,P2,masked,0.0896582,2.574605,2.575,True,True,hand_mask_v1
scene1,11,scene1::11,P3,masked,0.11602512,3.365033,3.365,True,True,hand_mask_v1
scene1,12,scene1::12,P1,masked,0.11214138,2.901734,2.902,True,True,hand_mask_v1
scene1,12,scene1::12,P2,masked,0.11155762,3.879546,3.880,True,True,hand_mask_v1
scene1,12,scene1::12,P3,masked,0.09780599,4.918743,4.919,True,True,hand_mask_v1
scene1,13,scene1::13,P1,masked,0.1658431,1.704712,1.705,True,True,hand_mask_v1
scene1,13,scene1::13,P2,masked,0.16979546,2.713458,2.713,True,True,hand_mask_v1
scene1,13,scene1::13,P3,masked,0.45625895,3.687737,3.688,True,True,hand_mask_v1
scene1,14,scene1::14,P1,masked,0.1947347,1.335400,1.335,True,True,hand_mask_v1
scene1,14,scene1::14,P2,masked,0.1942966,2.229090,2.229,True,True,hand_mask_v1
scene1,14,scene1::14,P3,masked,0.19740587,2.785913,2.786,True,True,hand_mask_v1
scene1,15,scene1::15,P1,masked,0.18126329,0.516672,0.517,True,True,hand_mask_v1
scene1,15,scene1::15,P2,masked,0.18618924,1.462991,1.463,True,True,hand_mask_v1
scene1,15,scene1::15,P3,masked,0.19530111,2.023194,2.023,True,True,hand_mask_v1
scene1,16,scene1::16,P1,masked,0.1682156,1.120679,1.121,True,True,hand_mask_v1
scene1,16,scene1::16,P2,masked,0.17029595,1.679501,1.680,True,True,hand_mask_v1
scene1,16,scene1::16,P3,masked,0.12469699,2.671658,2.672,True,True,hand_mask_v1
scene1,17,scene1::17,P1,masked,0.17379666,2.841297,2.841,True,True,hand_mask_v1
scene1,17,scene1::17,P2,masked,0.17455892,3.341558,3.342,True,True,hand_mask_v1
scene1,17,scene1::17,P3,masked,0.17544596,3.855728,3.856,True,True,hand_mask_v1
scene1,18,scene1::18,P1,masked,0.15717339,1.732978,1.733,True,True,hand_mask_v1
scene1,18,scene1::18,P2,masked,0.15641602,2.490168,2.490,True,True,hand_mask_v1
scene1,18,scene1::18,P3,masked,0.43601807,3.239436,3.239,True,True,hand_mask_v1
scene1,19,scene1::19,P1,masked,0.10972493,1.772359,1.772,True,True,hand_mask_v1
scene1,19,scene1::19,P2,masked,0.13063856,2.664149,2.664,True,True,hand_mask_v1
scene1,19,scene1::19,P3,masked,0.15655273,3.794207,3.794,True,True,hand_mask_v1
scene1,20,scene1::20,P1,masked,0.14536947,1.722467,1.722,True,True,hand_mask_v1
scene1,20,scene1::20,P2,masked,0.1447819,2.399721,2.400,True,True,hand_mask_v1
scene1,20,scene1::20,P3,masked,0.08519694,3.242108,3.242,True,True,hand_mask_v1
scene1,21,scene1::21,P1,masked,0.06248047,2.930169,2.930,True,True,hand_mask_v1
scene1,21,scene1::21,P2,masked,0.06550781,3.983406,3.983,True,True,hand_mask_v1
scene1,21,scene1::21,P3,masked,0.13800456,4.938578,4.939,True,True,hand_mask_v1
scene1,22,scene1::22,P1,masked,0.14735894,1.798785,1.799,True,True,hand_mask_v1
scene1,22,scene1::22,P2,masked,0.14260471,2.313750,2.314,True,True,hand_mask_v1
scene1,22,scene1::22,P3,masked,0.14414334,2.855137,2.855,True,True,hand_mask_v1
scene1,23,scene1::23,P1,masked,0.17887071,1.841094,1.841,True,True,hand_mask_v1
scene1,23,scene1::23,P2,masked,0.16887804,2.400421,2.400,True,True,hand_mask_v1
scene1,23,scene1::23,P3,masked,0.16872613,3.374438,3.374,True,True,hand_mask_v1
scene1,24,scene1::24,P1,masked,0.17335422,0.829166,0.829,True,True,hand_mask_v1
scene1,24,scene1::24,P2,masked,0.17340766,2.251091,2.251,True,True,hand_mask_v1
scene1,24,scene1::24,P3,masked,0.17529378,2.808648,2.809,True,True,hand_mask_v1
scene1,25,scene1::25,P1,masked,0.19315918,1.741812,1.742,True,True,hand_mask_v1
scene1,25,scene1::25,P2,masked,0.19771132,2.300804,2.301,True,True,hand_mask_v1
scene1,25,scene1::25,P3,masked,0.14759766,3.221332,3.221,True,True,hand_mask_v1
scene1,26,scene1::26,P1,masked,0.2435791,2.672873,2.673,True,True,hand_mask_v1
scene1,26,scene1::26,P2,masked,0.25041178,3.776198,3.776,True,True,hand_mask_v1
scene1,26,scene1::26,P3,masked,0.38369683,4.662479,4.662,True,True,hand_mask_v1
scene1,27,scene1::27,P1,masked,0.2255797,2.545011,2.545,True,True,hand_mask_v1
scene1,27,scene1::27,P2,masked,0.22127604,3.551337,3.551,True,True,hand_mask_v1
scene1,27,scene1::27,P3,masked,0.2257449,4.551305,4.551,True,True,hand_mask_v1
scene1,28,scene1::28,P1,masked,0.1367022,1.341231,1.341,True,True,hand_mask_v1
scene1,28,scene1::28,P2,masked,0.13717502,1.841310,1.841,True,True,hand_mask_v1
scene1,28,scene1::28,P3,masked,0.13795437,2.619173,2.619,True,True,hand_mask_v1
scene1,29,scene1::29,P1,masked,0.15582682,1.170438,1.170,True,True,hand_mask_v1
scene1,29,scene1::29,P2,masked,0.15666368,2.190223,2.190,True,True,hand_mask_v1
scene1,29,scene1::29,P3,masked,0.15527805,3.162079,3.162,True,True,hand_mask_v1
scene1,30,scene1::30,P1,masked,0.13075629,0.988653,0.989,True,True,hand_mask_v1
scene1,30,scene1::30,P2,masked,0.1350198,1.548109,1.548,True,True,hand_mask_v1
scene1,30,scene1::30,P3,masked,0.08443576,2.525863,2.526,True,True,hand_mask_v1
scene1,31,scene1::31,P1,masked,0.17235921,1.002824,1.003,True,True,hand_mask_v1
scene1,31,scene1::31,P2,masked,0.28766954,3.442814,3.443,True,True,hand_mask_v1
scene1,31,scene1::31,P3,masked,0.27144694,3.991784,3.992,True,True,hand_mask_v1
scene1,32,scene1::32,P1,masked,0.19639187,1.143427,1.143,True,True,hand_mask_v1
scene1,32,scene1::32,P2,masked,0.20200738,2.452420,2.452,True,True,hand_mask_v1
scene1,32,scene1::32,P3,masked,0.12028944,3.251487,3.251,True,True,hand_mask_v1
scene1,33,scene1::33,P1,masked,0.16297173,2.641343,2.641,True,True,hand_mask_v1
scene1,33,scene1::33,P2,masked,0.18171224,3.201232,3.201,True,True,hand_mask_v1
scene1,33,scene1::33,P3,masked,0.11620117,3.723700,3.724,True,True,hand_mask_v1
scene1,34,scene1::34,P1,masked,0.18624322,1.314248,1.314,True,True,hand_mask_v1
scene1,34,scene1::34,P2,masked,0.19261556,2.293803,2.294,True,True,hand_mask_v1
scene1,34,scene1::34,P3,masked,0.1977653,2.852515,2.853,True,True,hand_mask_v1
scene1,35,scene1::35,P1,masked,0.16549832,1.689644,1.690,True,True,hand_mask_v1
scene1,35,scene1::35,P2,masked,0.16773492,2.468159,2.468,True,True,hand_mask_v1
scene1,35,scene1::35,P3,masked,0.27537516,3.234905,3.235,True,True,hand_mask_v1
scene1,36,scene1::36,P1,masked,0.15020508,2.873344,2.873,True,True,hand_mask_v1
scene1,36,scene1::36,P2,masked,0.15176812,3.870945,3.871,True,True,hand_mask_v1
scene1,36,scene1::36,P3,masked,0.15120985,4.407243,4.407,True,True,hand_mask_v1
scene1,37,scene1::37,P1,masked,0.27273003,2.443141,2.443,True,True,hand_mask_v1
scene1,37,scene1::37,P2,masked,0.15564941,3.880115,3.880,True,True,hand_mask_v1
scene1,37,scene1::37,P3,masked,0.15629449,4.878458,4.878,True,True,hand_mask_v1
scene1,38,scene1::38,P1,masked,0.15292046,2.422262,2.422,True,True,hand_mask_v1
scene1,38,scene1::38,P2,masked,0.15485758,3.398487,3.398,True,True,hand_mask_v1
scene1,38,scene1::38,P3,masked,0.14293186,4.409102,4.409,True,True,hand_mask_v1
scene1,39,scene1::39,P1,masked,0.14112956,1.835072,1.835,True,True,hand_mask_v1
scene1,39,scene1::39,P2,masked,0.14231717,2.835172,2.835,True,True,hand_mask_v1
scene1,39,scene1::39,P3,masked,0.0827124,4.858287,4.858,True,True,hand_mask_v1
scene1,40,scene1::40,P1,masked,0.0603144,2.522904,2.523,True,True,hand_mask_v1
scene1,40,scene1::40,P2,masked,0.05878771,3.078521,3.079,True,True,hand_mask_v1
scene1,40,scene1::40,P3,masked,0.05916178,4.016754,4.017,True,True,hand_mask_v1
scene1,41,scene1::41,P1,masked,0.09308105,1.687335,1.687,True,True,hand_mask_v1
scene1,41,scene1::41,P2,masked,0.09378255,2.187681,2.188,True,True,hand_mask_v1
scene1,41,scene1::41,P3,masked,0.14071669,3.684073,3.684,True,True,hand_mask_v1
scene1,42,scene1::42,P1,masked,0.09511583,1.682271,1.682,True,True,hand_mask_v1
scene1,42,scene1::42,P2,masked,0.09435221,2.182662,2.183,True,True,hand_mask_v1
scene1,42,scene1::42,P3,masked,0.1030835,3.182583,3.183,True,True,hand_mask_v1
scene1,43,scene1::43,P1,masked,0.09124756,4.076068,4.076,True,True,hand_mask_v1
scene1,43,scene1::43,P2,masked,0.09328071,4.633712,4.634,True,True,hand_mask_v1
scene1,43,scene1::43,P3,masked,0.09972087,6.170119,6.170,True,True,hand_mask_v1
scene1,44,scene1::44,P1,masked,0.14939453,2.892058,2.892,True,True,hand_mask_v1
scene1,44,scene1::44,P2,masked,0.15800863,3.879618,3.880,True,True,hand_mask_v1
scene1,44,scene1::44,P3,masked,0.1146582,4.871613,4.872,True,True,hand_mask_v1
scene1,45,scene1::45,P1,masked,0.23873942,1.282373,1.282,True,True,hand_mask_v1
scene1,45,scene1::45,P2,masked,0.25351237,2.281995,2.282,True,True,hand_mask_v1
scene1,45,scene1::45,P3,masked,0.25301704,2.829243,2.829,True,True,hand_mask_v1
scene1,46,scene1::46,P1,masked,0.27950087,2.957001,2.957,True,True,hand_mask_v1
scene1,46,scene1::46,P2,masked,0.12561686,3.504978,3.505,True,True,hand_mask_v1
scene1,46,scene1::46,P3,masked,0.19801921,4.949027,4.949,True,True,hand_mask_v1
scene1,47,scene1::47,P1,masked,0.08992106,2.049567,2.050,True,True,hand_mask_v1
scene1,47,scene1::47,P2,masked,0.08820692,3.022126,3.022,True,True,hand_mask_v1
scene1,47,scene1::47,P3,masked,0.09440213,3.601343,3.601,True,True,hand_mask_v1
scene1,48,scene1::48,P1,masked,0.16973362,3.296453,3.296,True,True,hand_mask_v1
scene1,48,scene1::48,P2,masked,0.17079183,3.963261,3.963,True,True,hand_mask_v1
scene1,48,scene1::48,P3,masked,0.10167779,5.029730,5.030,True,True,hand_mask_v1
scene1,49,scene1::49,P1,masked,0.1150179,2.360122,2.360,True,True,hand_mask_v1
scene1,49,scene1::49,P2,masked,0.1303399,3.310608,3.311,True,True,hand_mask_v1
scene1,49,scene1::49,P3,masked,0.09586263,4.258652,4.259,True,True,hand_mask_v1
scene1,50,scene1::50,P1,masked,0.15666287,2.335604,2.336,True,True,hand_mask_v1
scene1,50,scene1::50,P2,masked,0.15912571,2.835867,2.836,True,True,hand_mask_v1
scene1,50,scene1::50,P3,masked,0.16968289,3.682451,3.682,True,True,hand_mask_v1
scene1,51,scene1::51,P1,masked,0.16511149,1.435098,1.435,True,True,hand_mask_v1
scene1,51,scene1::51,P2,masked,0.16674723,2.892427,2.892,True,True,hand_mask_v1
scene1,51,scene1::51,P3,masked,0.16608561,3.915916,3.916,True,True,hand_mask_v1
scene1,52,scene1::52,P1,masked,0.07279243,2.001952,2.002,True,True,hand_mask_v1
scene1,52,scene1::52,P2,masked,0.08255751,3.001837,3.002,True,True,hand_mask_v1
scene1,52,scene1::52,P3,masked,0.08262343,4.002460,4.002,True,True,hand_mask_v1
scene1,53,scene1::53,P1,masked,0.07615668,2.687972,2.688,True,True,hand_mask_v1
scene1,53,scene1::53,P2,masked,0.08251628,3.188210,3.188,True,True,hand_mask_v1
scene1,53,scene1::53,P3,masked,0.13017361,4.229878,4.230,True,True,hand_mask_v1
scene1,54,scene1::54,P1,masked,0.16771647,2.345598,2.346,True,True,hand_mask_v1
scene1,54,scene1::54,P2,masked,0.17323622,3.351723,3.352,True,True,hand_mask_v1
scene1,54,scene1::54,P3,masked,0.14009033,4.370505,4.371,True,True,hand_mask_v1
scene1,55,scene1::55,P1,masked,0.27038249,2.832859,2.833,True,True,hand_mask_v1
scene1,55,scene1::55,P2,masked,0.27426704,3.838826,3.839,True,True,hand_mask_v1
scene1,55,scene1::55,P3,masked,0.12228733,4.836405,4.836,True,True,hand_mask_v1
scene1,56,scene1::56,P1,masked,0.15356662,2.821329,2.821,True,True,hand_mask_v1
scene1,56,scene1::56,P2,masked,0.15691569,3.335261,3.335,True,True,hand_mask_v1
scene1,56,scene1::56,P3,masked,0.15939969,3.911542,3.912,True,True,hand_mask_v1
scene1,57,scene1::57,P1,masked,0.0530127,3.443469,3.443,True,True,hand_mask_v1
scene1,57,scene1::57,P2,masked,0.05421984,3.999984,4.000,True,True,hand_mask_v1
scene1,57,scene1::57,P3,masked,0.09028564,4.989485,4.989,True,True,hand_mask_v1
scene1,58,scene1::58,P1,masked,0.05630832,2.956598,2.957,True,True,hand_mask_v1
scene1,58,scene1::58,P2,masked,0.0568042,3.510995,3.511,True,True,hand_mask_v1
scene1,58,scene1::58,P3,masked,0.48406087,4.911128,4.911,True,True,hand_mask_v1
scene1,59,scene1::59,P1,masked,0.19924479,1.837004,1.837,True,True,hand_mask_v1
scene1,59,scene1::59,P2,masked,0.20522786,2.826996,2.827,True,True,hand_mask_v1
scene1,59,scene1::59,P3,masked,0.41392415,3.804644,3.805,True,True,hand_mask_v1
scene1,60,scene1::60,P1,masked,0.2457864,0.855213,0.855,True,True,hand_mask_v1
scene1,60,scene1::60,P2,masked,0.24748508,2.582759,2.583,True,True,hand_mask_v1
scene1,60,scene1::60,P3,masked,0.26544027,3.303298,3.303,True,True,hand_mask_v1
scene1,61,scene1::61,P1,masked,0.223227,1.649552,1.650,True,True,hand_mask_v1
scene1,61,scene1::61,P2,masked,0.22310872,2.731248,2.731,True,True,hand_mask_v1
scene1,61,scene1::61,P3,masked,0.37988363,3.648787,3.649,True,True,hand_mask_v1
scene1,62,scene1::62,P1,masked,0.24420736,1.946499,1.946,True,True,hand_mask_v1
scene1,62,scene1::62,P2,masked,0.24661892,3.446920,3.447,True,True,hand_mask_v1
scene1,62,scene1::62,P3,masked,0.10643717,4.446546,4.447,True,True,hand_mask_v1
scene1,63,scene1::63,P1,masked,0.3933922,3.335330,3.335,True,True,hand_mask_v1
scene1,63,scene1::63,P2,masked,0.39483371,3.835764,3.836,True,True,hand_mask_v1
scene1,63,scene1::63,P3,masked,0.19070095,4.835643,4.836,True,True,hand_mask_v1
scene1,64,scene1::64,P1,masked,0.37414334,1.314931,1.315,True,True,hand_mask_v1
scene1,64,scene1::64,P2,masked,0.38562229,2.717857,2.718,True,True,hand_mask_v1
scene1,64,scene1::64,P3,masked,0.33640408,3.730605,3.731,True,True,hand_mask_v1
scene1,65,scene1::65,P1,masked,0.22308078,1.768214,1.768,True,True,hand_mask_v1
scene1,65,scene1::65,P2,masked,0.22325819,2.504996,2.505,True,True,hand_mask_v1
scene1,65,scene1::65,P3,masked,0.10793186,3.779831,3.780,True,True,hand_mask_v1
scene1,66,scene1::66,P1,masked,0.18174669,3.007314,3.007,True,True,hand_mask_v1
scene1,66,scene1::66,P2,masked,0.18678413,4.007604,4.008,True,True,hand_mask_v1
scene1,66,scene1::66,P3,masked,0.18912462,4.507749,4.508,True,True,hand_mask_v1
scene1,67,scene1::67,P1,masked,0.32127848,1.380732,1.381,True,True,hand_mask_v1
scene1,67,scene1::67,P2,masked,0.32234972,1.935869,1.936,True,True,hand_mask_v1
scene1,67,scene1::67,P3,masked,0.32989502,2.935056,2.935,True,True,hand_mask_v1
scene1,68,scene1::68,P1,masked,0.22757243,1.682691,1.683,True,True,hand_mask_v1
scene1,68,scene1::68,P2,masked,0.23660183,2.348894,2.349,True,True,hand_mask_v1
scene1,68,scene1::68,P3,masked,0.23710992,3.182627,3.183,True,True,hand_mask_v1
scene1,69,scene1::69,P1,masked,0.18355279,2.418070,2.418,True,True,hand_mask_v1
scene1,69,scene1::69,P2,masked,0.18758084,3.866944,3.867,True,True,hand_mask_v1
scene1,69,scene1::69,P3,masked,0.19274712,4.422703,4.423,True,True,hand_mask_v1
scene1,70,scene1::70,P1,masked,0.19950277,1.150250,1.150,True,True,hand_mask_v1
scene1,70,scene1::70,P2,masked,0.20392524,1.749280,1.749,True,True,hand_mask_v1
scene1,70,scene1::70,P3,masked,0.10809625,3.677338,3.677,True,True,hand_mask_v1
scene1,71,scene1::71,P1,masked,0.30671305,2.196341,2.196,True,True,hand_mask_v1
scene1,71,scene1::71,P2,masked,0.08027751,3.196224,3.196,True,True,hand_mask_v1
scene1,71,scene1::71,P3,masked,0.1331543,3.696521,3.697,True,True,hand_mask_v1
scene1,72,scene1::72,P1,masked,0.27328857,1.349039,1.349,True,True,hand_mask_v1
scene1,72,scene1::72,P2,masked,0.28918891,1.849066,1.849,True,True,hand_mask_v1
scene1,72,scene1::72,P3,masked,0.37509603,2.682404,2.682,True,True,hand_mask_v1
scene1,73,scene1::73,P1,masked,0.18821994,2.000548,2.001,True,True,hand_mask_v1
scene1,73,scene1::73,P2,masked,0.18687066,2.512727,2.513,True,True,hand_mask_v1
scene1,73,scene1::73,P3,masked,0.18219672,3.407953,3.408,True,True,hand_mask_v1
scene1,74,scene1::74,P1,masked,0.26407281,3.106590,3.107,True,True,hand_mask_v1
scene1,74,scene1::74,P2,masked,0.27825521,3.656536,3.657,True,True,hand_mask_v1
scene1,74,scene1::74,P3,masked,0.2834554,4.579780,4.580,True,True,hand_mask_v1
scene1,75,scene1::75,P1,masked,0.20055339,1.834854,1.835,True,True,hand_mask_v1
scene1,75,scene1::75,P2,masked,0.1990682,2.769928,2.770,True,True,hand_mask_v1
scene1,75,scene1::75,P3,masked,0.20228326,3.766071,3.766,True,True,hand_mask_v1
scene1,76,scene1::76,P1,masked,0.14708876,1.668647,1.669,True,True,hand_mask_v1
scene1,76,scene1::76,P2,masked,0.15034885,2.335226,2.335,True,True,hand_mask_v1
scene1,76,scene1::76,P3,masked,0.21629639,3.668824,3.669,True,True,hand_mask_v1
scene1,77,scene1::77,P1,masked,0.17543945,1.155585,1.156,True,True,hand_mask_v1
scene1,77,scene1::77,P2,masked,0.18184272,2.197111,2.197,True,True,hand_mask_v1
scene1,77,scene1::77,P3,masked,0.14833333,3.171704,3.172,True,True,hand_mask_v1
scene1,78,scene1::78,P1,masked,0.16281006,2.313649,2.314,True,True,hand_mask_v1
scene1,78,scene1::78,P2,masked,0.16524577,3.358301,3.358,True,True,hand_mask_v1
scene1,78,scene1::78,P3,masked,0.14496257,4.281003,4.281,True,True,hand_mask_v1
scene1,79,scene1::79,P1,masked,0.16030084,1.854838,1.855,True,True,hand_mask_v1
scene1,79,scene1::79,P2,masked,0.16146647,2.411695,2.412,True,True,hand_mask_v1
scene1,79,scene1::79,P3,masked,0.16163791,3.410022,3.410,True,True,hand_mask_v1
scene1,80,scene1::80,P1,masked,0.28822808,1.275251,1.275,True,True,hand_mask_v1
scene1,80,scene1::80,P2,masked,0.28221029,1.829118,1.829,True,True,hand_mask_v1
scene1,80,scene1::80,P3,masked,0.28376275,2.341528,2.342,True,True,hand_mask_v1
scene1,81,scene1::81,P1,masked,0.16921604,1.355172,1.355,True,True,hand_mask_v1
scene1,81,scene1::81,P2,masked,0.14355523,2.855082,2.855,True,True,hand_mask_v1
scene1,81,scene1::81,P3,masked,0.16435547,3.969206,3.969,True,True,hand_mask_v1
scene1,82,scene1::82,P1,masked,0.26538818,1.837432,1.837,True,True,hand_mask_v1
scene1,82,scene1::82,P2,masked,0.26782905,2.394116,2.394,True,True,hand_mask_v1
scene1,82,scene1::82,P3,masked,0.1219477,4.317652,4.318,True,True,hand_mask_v1
scene1,83,scene1::83,P1,masked,0.21723253,1.559262,1.559,True,True,hand_mask_v1
scene1,83,scene1::83,P2,masked,0.21743408,2.116040,2.116,True,True,hand_mask_v1
scene1,83,scene1::83,P3,masked,0.46566786,3.031941,3.032,True,True,hand_mask_v1
scene1,84,scene1::84,P1,masked,0.20751709,1.191440,1.191,True,True,hand_mask_v1
scene1,84,scene1::84,P2,masked,0.1376275,3.185930,3.186,True,True,hand_mask_v1
scene1,84,scene1::84,P3,masked,0.0264133,3.758044,3.758,True,True,hand_mask_v1
scene1,85,scene1::85,P1,masked,0.30336507,0.801123,0.801,True,True,hand_mask_v1
scene1,85,scene1::85,P2,masked,0.21810927,2.781149,2.781,True,True,hand_mask_v1
scene1,85,scene1::85,P3,masked,0.05178819,4.333965,4.334,True,True,hand_mask_v1
scene1,86,scene1::86,P1,masked,0.36260688,1.232602,1.233,True,True,hand_mask_v1
scene1,86,scene1::86,P2,masked,0.34276069,1.789936,1.790,True,True,hand_mask_v1
scene1,86,scene1::86,P3,masked,0.30963623,2.535466,2.535,True,True,hand_mask_v1
scene1,87,scene1::87,P1,masked,0.16725966,1.696560,1.697,True,True,hand_mask_v1
scene1,87,scene1::87,P2,masked,0.16885796,2.696944,2.697,True,True,hand_mask_v1
scene1,87,scene1::87,P3,masked,0.40856635,4.196655,4.197,True,True,hand_mask_v1
scene1,88,scene1::88,P1,masked,0.16615885,2.502748,2.503,True,True,hand_mask_v1
scene1,88,scene1::88,P2,masked,0.16590007,3.502792,3.503,True,True,hand_mask_v1
scene1,88,scene1::88,P3,masked,0.16623617,4.002997,4.003,True,True,hand_mask_v1
scene1,89,scene1::89,P1,masked,0.22050212,3.365943,3.366,True,True,hand_mask_v1
scene1,89,scene1::89,P2,masked,0.22621555,3.921874,3.922,True,True,hand_mask_v1
scene1,89,scene1::89,P3,masked,0.15851128,4.923634,4.924,True,True,hand_mask_v1
scene1,90,scene1::90,P1,masked,0.1577691,2.289942,2.290,True,True,hand_mask_v1
scene1,90,scene1::90,P2,masked,0.1577124,2.848204,2.848,True,True,hand_mask_v1
scene1,90,scene1::90,P3,masked,0.1633119,3.401253,3.401,True,True,hand_mask_v1
scene1,91,scene1::91,P1,masked,0.15034071,1.829926,1.830,True,True,hand_mask_v1
scene1,91,scene1::91,P2,masked,0.15464193,2.828652,2.829,True,True,hand_mask_v1
scene1,91,scene1::91,P3,masked,0.16040527,4.382875,4.383,True,True,hand_mask_v1
scene1,92,scene1::92,P1,masked,0.16624783,1.335120,1.335,True,True,hand_mask_v1
scene1,92,scene1::92,P2,masked,0.17509115,1.835304,1.835,True,True,hand_mask_v1
scene1,92,scene1::92,P3,masked,0.17330729,2.825848,2.826,True,True,hand_mask_v1
scene1,93,scene1::93,P1,masked,0.10867133,1.305117,1.305,True,True,hand_mask_v1
scene1,93,scene1::93,P2,masked,0.11060981,2.266913,2.267,True,True,hand_mask_v1
scene1,93,scene1::93,P3,masked,0.14175347,3.759482,3.759,True,True,hand_mask_v1
scene1,94,scene1::94,P1,masked,0.15268229,1.941228,1.941,True,True,hand_mask_v1
scene1,94,scene1::94,P2,masked,0.15245605,3.488681,3.489,True,True,hand_mask_v1
scene1,94,scene1::94,P3,masked,0.11067274,4.910323,4.910,True,True,hand_mask_v1
scene1,95,scene1::95,P1,masked,0.21141357,2.528952,2.529,True,True,hand_mask_v1
scene1,95,scene1::95,P2,masked,0.20907715,3.195565,3.196,True,True,hand_mask_v1
scene1,95,scene1::95,P3,masked,0.09031169,4.195489,4.195,True,True,hand_mask_v1
scene1,96,scene1::96,P1,masked,0.19706217,1.348834,1.349,True,True,hand_mask_v1
scene1,96,scene1::96,P2,masked,0.19228787,2.282250,2.282,True,True,hand_mask_v1
scene1,96,scene1::96,P3,masked,0.19698405,2.850597,2.851,True,True,hand_mask_v1
scene1,97,scene1::97,P1,masked,0.14206407,0.802512,0.803,True,True,hand_mask_v1
scene1,97,scene1::97,P2,masked,0.1371384,2.717806,2.718,True,True,hand_mask_v1
scene1,97,scene1::97,P3,masked,0.13960069,3.807556,3.808,True,True,hand_mask_v1
scene1,98,scene1::98,P1,masked,0.22726888,1.762411,1.762,True,True,hand_mask_v1
scene1,98,scene1::98,P2,masked,0.22629883,2.794046,2.794,True,True,hand_mask_v1
scene1,98,scene1::98,P3,masked,0.12356337,3.796339,3.796,True,True,hand_mask_v1
scene1,99,scene1::99,P1,masked,0.14509874,1.872969,1.873,True,True,hand_mask_v1
scene1,99,scene1::99,P2,masked,0.14987657,2.904174,2.904,True,True,hand_mask_v1
scene1,99,scene1::99,P3,masked,0.15037055,3.422624,3.423,True,True,hand_mask_v1
scene1,100,scene1::100,P1,masked,0.08030924,1.824915,1.825,True,True,hand_mask_v1
