unified_id,scene,row_index,raw_referents,mapped_referents,matched_location_region_anchors,is_location_region_interaction
scene1::186,scene1,186,Building8,building8,building8,True
scene1::187,scene1,187,cargo2,cargo2,,False
scene1::188,scene1,188,Building2,building2,building2,True
scene1::189,scene1,189,Cargo2,cargo2,,False
scene1::190,scene1,190,Building7,building7,building7,True
scene1::191,scene1,191,Cargo1,cargo1,,False
scene1::192,scene1,192,cargo2,cargo2,,False
scene1::193,scene1,193,Cargo1,cargo1,,False
scene1::194,scene1,194,Cargo2,cargo2,,False
scene1::195,scene1,195,cargo2,cargo2,,False
scene1::196,scene1,196,Building3,building3,building3,True
scene1::197,scene1,197,Building5,building5,building5,True
scene1::198,scene1,198,Direct2,truck2,,False
scene1::199,scene1,199,Fork2,forklift2,,False
scene1::200,scene1,200,cargo1,cargo1,,False
scene1::201,scene1,201,cargo1,cargo1,,False
scene1::202,scene1,202,Cargo1,cargo1,,False
scene1::203,scene1,203,Building9,building9,building9,True
scene1::204,scene1,204,Building9,building9,building9,True
scene1::205,scene1,205,Cargo1,cargo1,,False
scene1::206,scene1,206,Cargo2,cargo2,,False
scene1::207,scene1,207,Building3,building3,building3,True
scene1::208,scene1,208,cargo2,cargo2,,False
scene1::209,scene1,209,Fork1,forklift1,,False
scene1::210,scene1,210,Direct2,truck2,,False
scene1::211,scene1,211,Direct1,truck1,,False
scene1::212,scene1,212,Building6,building6,building6,True
scene1::213,scene1,213,Fork1,forklift1,,False
scene1::214,scene1,214,Building9,building9,building9,True
scene1::215,scene1,215,Building9,building9,building9,True
scene1::216,scene1,216,Fork2,forklift2,,False
scene1::217,scene1,217,Building5,building5,building5,True
scene1::218,scene1,218,Cargo1,cargo1,,False
scene1::219,scene1,219,cargo1,cargo1,,False
scene1::220,scene1,220,Building8,building8,building8,True
scene1::221,scene1,221,Direct1,truck1,,False
scene1::222,scene1,222,Building1,building1,building1,True
scene1::223,scene1,223,Cargo2,cargo2,,False
scene1::224,scene1,224,cargo1,cargo1,,False
scene1::225,scene1,225,Cargo2,cargo2,,False
scene1::226,scene1,226,"Person2, Building9","person2,building9",building9,True
scene1::227,scene1,227,"Person1, Person2, Building8","person1,person2,building8",building8,True
scene1::228,scene1,228,"Person1, Person2, Building8","person1,person2,building8",building8,True
scene1::229,scene1,229,"Person1, Cargo2","person1,cargo2",,False
scene1::230,scene1,230,"Person2, Person1, Fork2","person2,person1,forklift2",,False
scene1::231,scene1,231,"Person1, Person2, Building7","person1,person2,building7",building7,True
scene1::232,scene1,232,"Person1, Building3","person1,building3",building3,True
scene1::233,scene1,233,"Person2, Person1, Fork2","person2,person1,forklift2",,False
scene1::234,scene1,234,"Person3, Building6","person3,building6",building6,True
scene1::235,scene1,235,"Person3, cargo2","person3,cargo2",,False
scene1::236,scene1,236,"Person1, Helicopter2","person1,helicopter2",,False
scene1::237,scene1,237,"Person2, Building9","person2,building9",building9,True
scene1::238,scene1,238,"Person1, Person2, Building7","person1,person2,building7",building7,True
scene1::239,scene1,239,"Person3, Direct1","person3,truck1",,False
scene1::240,scene1,240,"Person2, Person1, Building2","person2,person1,building2",building2,True
scene1::241,scene1,241,"Person2, Direct1","person2,truck1",,False
scene1::242,scene1,242,"Person1, Direct2","person1,truck2",,False
scene1::243,scene1,243,"Person1, Person2, cargo2","person1,person2,cargo2",,False
scene1::244,scene1,244,"Person1, Person2, Building3","person1,person2,building3",building3,True
scene1::245,scene1,245,"Person1, Building6","person1,building6",building6,True
scene1::246,scene1,246,"Person1, Helicopter1","person1,helicopter1",,False
scene1::247,scene1,247,"Person2, Person1, Building2","person2,person1,building2",building2,True
scene1::248,scene1,248,"Person1, Person2, Building1","person1,person2,building1",building1,True
scene1::249,scene1,249,"Person2, Person1, Building3","person2,person1,building3",building3,True
scene1::250,scene1,250,"Person3, Building3","person3,building3",building3,True
scene1::251,scene1,251,"Person2, Person1, Building2","person2,person1,building2",building2,True
scene1::252,scene1,252,"Person1, Person2, Building1","person1,person2,building1",building1,True
scene1::253,scene1,253,"Person2, Person1, Building9","person2,person1,building9",building9,True
scene1::254,scene1,254,"Person2, Helicopter1","person2,helicopter1",,False
scene1::255,scene1,255,"Person1, Cargo1","person1,cargo1",,False
scene1::256,scene1,256,"Person1, Person2, Cargo2","person1,person2,cargo2",,False
scene1::257,scene1,257,"Person2, cargo1","person2,cargo1",,False
scene1::258,scene1,258,"Person1, Person2, Fork2","person1,person2,forklift2",,False
scene1::259,scene1,259,"Person2, Person1, Building2","person2,person1,building2",building2,True
scene1::260,scene1,260,"Person2, Person1, Direct2","person2,person1,truck2",,False
scene1::261,scene1,261,"Person1, Building6","person1,building6",building6,True
scene1::262,scene1,262,"Person1, Building3","person1,building3",building3,True
scene1::263,scene1,263,"Person1, Person2, Fork1","person1,person2,forklift1",,False
scene1::264,scene1,264,"Person2, Person1, cargo2","person2,person1,cargo2",,False
scene1::265,scene1,265,"Person3, Helicopter1","person3,helicopter1",,False
scene1::266,scene1,266,"Person2, Direct2","person2,truck2",,False
scene1::267,scene1,267,"Person1, Person2, cargo2","person1,person2,cargo2",,False
scene1::268,scene1,268,"Person2, Person1, Fork1","person2,person1,forklift1",,False
scene1::269,scene1,269,"Person1, Person2, Building8","person1,person2,building8",building8,True
scene1::270,scene1,270,"Person3, Building9","person3,building9",building9,True
scene1::271,scene1,271,"Person1, Person2, Building6","person1,person2,building6",building6,True
scene1::272,scene1,272,"Person2, Person1, Platform1","person2,person1,platform1",,False
scene1::273,scene1,273,"Person1, Person2, Building2","person1,person2,building2",building2,True
scene1::274,scene1,274,"Person1, Person2, Direct2","person1,person2,truck2",,False
scene1::275,scene1,275,"Person1, Person2, cargo2","person1,person2,cargo2",,False
scene1::276,scene1,276,"Person3, Fork2","person3,forklift2",,False
scene1::277,scene1,277,"Person2, Person1, cargo2","person2,person1,cargo2",,False
scene1::278,scene1,278,"Person2, Person1, Building7","person2,person1,building7",building7,True
scene1::279,scene1,279,"Person1, Person2, Building6","person1,person2,building6",building6,True
scene1::280,scene1,280,"Person1, Person2, Building9","person1,person2,building9",building9,True
scene1::281,scene1,281,"Person3, Building1","person3,building1",building1,True
scene1::282,scene1,282,"Person2, Person1, Building6","person2,person1,building6",building6,True
scene1::283,scene1,283,"Person2, Person1, Building1","person2,person1,building1",building1,True
scene1::284,scene1,284,"Person1, Person2, Building7","person1,person2,building7",building7,True
scene1::285,scene1,285,"Person2, Building9","person2,building9",building9,True
scene1::286,scene1,286,"Person2, Direct1","person2,truck1",,False
scene1::287,scene1,287,"Person1, Building7","person1,building7",building7,True
scene1::288,scene1,288,"Person2, Person1, Building8","person2,person1,building8",building8,True
scene1::289,scene1,289,"Person3, Person1, Building9","person3,person1,building9",building9,True
scene1::290,scene1,290,"Person2, Person1, Platform1","person2,person1,platform1",,False
scene1::291,scene1,291,"Person2, Platform1","person2,platform1",,False
scene1::292,scene1,292,"Person3, Building3","person3,building3",building3,True
scene1::293,scene1,293,"Person2, Person1, Building3","person2,person1,building3",building3,True
scene1::294,scene1,294,"Person1, Person2, Building6","person1,person2,building6",building6,True
scene1::295,scene1,295,"Person1, Person2, Building5","person1,person2,building5",building5,True
scene1::296,scene1,296,"Person1, Building2","person1,building2",building2,True
scene1::297,scene1,297,"Person2, Building7","person2,building7",building7,True
scene1::298,scene1,298,"Person1, Person2, Building8","person1,person2,building8",building8,True
scene1::299,scene1,299,"Person1, Person2, cargo1","person1,person2,cargo1",,False
scene1::300,scene1,300,"cargo1, Fork1","cargo1,forklift1",,False
scene1::301,scene1,301,"Cargo1, Platform1","cargo1,platform1",,False
scene1::302,scene1,302,"Direct1, Fork1, Building7","truck1,forklift1,building7",building7,True
scene1::303,scene1,303,"cargo2, Building1","cargo2,building1",building1,True
scene1::304,scene1,304,Direct1,truck1,,False
scene1::305,scene1,305,"cargo2, cargo1, Platform1","cargo2,cargo1,platform1",,False
scene1::306,scene1,306,cargo1,cargo1,,False
scene1::307,scene1,307,Helicopter2,helicopter2,,False
scene1::308,scene1,308,"Cargo2, Platform1","cargo2,platform1",,False
scene1::309,scene1,309,Cargo1,cargo1,,False
scene1::310,scene1,310,Building7,building7,building7,True
scene1::311,scene1,311,cargo1,cargo1,,False
scene1::312,scene1,312,Helicopter2,helicopter2,,False
scene1::313,scene1,313,"cargo1, Building6","cargo1,building6",building6,True
scene1::314,scene1,314,"Helicopter1, Platform1","helicopter1,platform1",,False
scene1::315,scene1,315,"cargo1, cargo2, Building9","cargo1,cargo2,building9",building9,True
scene1::316,scene1,316,"cargo2, Platform1","cargo2,platform1",,False
scene1::317,scene1,317,"Helicopter1, Helicopter2","helicopter1,helicopter2",,False
scene1::318,scene1,318,"Fork1, Building8","forklift1,building8",building8,True
scene1::319,scene1,319,"cargo2, Building2","cargo2,building2",building2,True
scene1::320,scene1,320,"Cargo2, Platform1","cargo2,platform1",,False
scene1::321,scene1,321,Direct1,truck1,,False
scene1::322,scene1,322,"Cargo2, Building8","cargo2,building8",building8,True
scene1::323,scene1,323,Cargo1,cargo1,,False
scene1::324,scene1,324,"Direct1, Fork2","truck1,forklift2",,False
scene1::325,scene1,325,"cargo1, Building1","cargo1,building1",building1,True
scene1::326,scene1,326,"cargo2, Building1","cargo2,building1",building1,True
scene1::327,scene1,327,"Fork1, Platform1","forklift1,platform1",,False
scene1::328,scene1,328,"Direct1, Fork1, Helicopter2","truck1,forklift1,helicopter2",,False
scene1::329,scene1,329,"Direct1, Direct2, Helicopter2","truck1,truck2,helicopter2",,False
scene1::330,scene1,330,"Direct2, Direct1","truck2,truck1",,False
scene1::331,scene1,331,Helicopter1,helicopter1,,False
scene1::332,scene1,332,"Fork1, Platform1","forklift1,platform1",,False
scene1::333,scene1,333,Building5,building5,building5,True
scene1::334,scene1,334,Building1,building1,building1,True
scene1::335,scene1,335,"cargo1, cargo2, Building9","cargo1,cargo2,building9",building9,True
scene1::336,scene1,336,"cargo2, Platform1","cargo2,platform1",,False
scene1::337,scene1,337,Cargo1,cargo1,,False
scene1::338,scene1,338,"cargo1, Platform1","cargo1,platform1",,False
scene1::339,scene1,339,"cargo1, Helicopter2","cargo1,helicopter2",,False
scene1::340,scene1,340,"cargo1, Fork1","cargo1,forklift1",,False
scene1::341,scene1,341,"cargo1, Fork2","cargo1,forklift2",,False
scene1::342,scene1,342,"Direct1, Fork1","truck1,forklift1",,False
scene1::343,scene1,343,"cargo1, Platform1","cargo1,platform1",,False
scene1::344,scene1,344,Cargo1,cargo1,,False
scene1::345,scene1,345,"Helicopter2, Platform1","helicopter2,platform1",,False
scene1::346,scene1,346,"Cargo2, Fork1","cargo2,forklift1",,False
scene1::347,scene1,347,"Cargo1, Helicopter2","cargo1,helicopter2",,False
scene1::348,scene1,348,Helicopter2,helicopter2,,False
scene1::349,scene1,349,"Cargo2, Building2","cargo2,building2",building2,True
scene1::350,scene1,350,"Fork2, Fork1, Building9","forklift2,forklift1,building9",building9,True
scene1::351,scene1,351,"Fork1, Building9","forklift1,building9",building9,True
scene1::352,scene1,352,"Cargo1, Building3","cargo1,building3",building3,True
scene1::353,scene1,353,"Cargo1, Platform1","cargo1,platform1",,False
scene1::354,scene1,354,"cargo2, Building5","cargo2,building5",building5,True
scene1::355,scene1,355,"Cargo2, Building9","cargo2,building9",building9,True
scene1::356,scene1,356,"Cargo2, Direct2","cargo2,truck2",,False
scene1::357,scene1,357,"Cargo2, Building6","cargo2,building6",building6,True
scene1::358,scene1,358,"cargo1, Direct1","cargo1,truck1",,False
scene1::359,scene1,359,"cargo1, Building8","cargo1,building8",building8,True
scene1::360,scene1,360,"cargo1, Helicopter1","cargo1,helicopter1",,False
scene1::361,scene1,361,"Direct1, Platform1","truck1,platform1",,False
scene1::362,scene1,362,Direct1,truck1,,False
scene1::363,scene1,363,"Fork1, Building9","forklift1,building9",building9,True
scene1::364,scene1,364,"Cargo1, Building1","cargo1,building1",building1,True
scene1::365,scene1,365,"Cargo2, Building2","cargo2,building2",building2,True
scene1::366,scene1,366,"Fork1, Fork2, Helicopter2","forklift1,forklift2,helicopter2",,False
scene1::367,scene1,367,"Helicopter1, Building8","helicopter1,building8",building8,True
scene1::368,scene1,368,"Fork2, Direct1, Building6","forklift2,truck1,building6",building6,True
scene1::369,scene1,369,"cargo2, Platform1","cargo2,platform1",,False
scene1::370,scene1,370,"Person1, cargo2, Direct2","person1,cargo2,truck2",,False
scene1::371,scene1,371,"Person1, Person2, Building1","person1,person2,building1",building1,True
scene1::372,scene1,372,"Person3, cargo2, Helicopter2","person3,cargo2,helicopter2",,False
scene1::373,scene1,373,"Person1, Cargo2, Helicopter2","person1,cargo2,helicopter2",,False
scene1::374,scene1,374,"Person2, Building3","person2,building3",building3,True
scene1::375,scene1,375,"Person3, Cargo1, cargo2, Building9","person3,cargo1,cargo2,building9",building9,True
scene1::376,scene1,376,"Person1, Fork1, Building9","person1,forklift1,building9",building9,True
scene1::377,scene1,377,"Person2, Building2","person2,building2",building2,True
scene1::378,scene1,378,"Person1, Person2, Building7","person1,person2,building7",building7,True
scene1::379,scene1,379,"Person1, Building1","person1,building1",building1,True
scene1::380,scene1,380,"Person1, Person2, cargo2, Helicopter2","person1,person2,cargo2,helicopter2",,False
scene1::381,scene1,381,"Person1, Person2, Building5","person1,person2,building5",building5,True
scene1::382,scene1,382,"Person2, Person1, cargo1, Cargo2, Direct2","person2,person1,cargo1,cargo2,truck2",,False
scene1::383,scene1,383,"Person1, Person2, Building3","person1,person2,building3",building3,True
scene1::384,scene1,384,"Person3, Fork1, Building8","person3,forklift1,building8",building8,True
scene1::385,scene1,385,"Person3, Direct2, Building7","person3,truck2,building7",building7,True
scene1::386,scene1,386,"Person1, Person2, cargo1, Building1","person1,person2,cargo1,building1",building1,True
scene1::387,scene1,387,"Person1, Person2, cargo2, Building1","person1,person2,cargo2,building1",building1,True
scene1::388,scene1,388,"Person1, Person2, Cargo2, Building1","person1,person2,cargo2,building1",building1,True
scene1::389,scene1,389,"Person1, Fork2, Fork1","person1,forklift2,forklift1",,False
scene1::390,scene1,390,"Person3, Cargo2, Building3","person3,cargo2,building3",building3,True
scene1::391,scene1,391,"Person1, cargo2, Direct2","person1,cargo2,truck2",,False
scene1::392,scene1,392,"Person2, Cargo2, cargo1, Platform1","person2,cargo2,cargo1,platform1",,False
scene1::393,scene1,393,"Person2, Person1, cargo1, Platform1","person2,person1,cargo1,platform1",,False
scene1::394,scene1,394,"Person1, Person2, Building2","person1,person2,building2",building2,True
scene1::395,scene1,395,"Person1, cargo1, Direct1","person1,cargo1,truck1",,False
scene1::396,scene1,396,"Person2, Person1, Building5","person2,person1,building5",building5,True
scene1::397,scene1,397,"Person1, Fork1, Building4","person1,forklift1,building4",building4,True
scene1::398,scene1,398,"Person1, Person2, Helicopter2","person1,person2,helicopter2",,False
scene1::399,scene1,399,"Person3, Direct1, Building1","person3,truck1,building1",building1,True
scene1::400,scene1,400,"Helicopter2, cargo1, Cargo2, Building8","helicopter2,cargo1,cargo2,building8",building8,True
scene1::401,scene1,401,"cargo1, Fork1, Building10","cargo1,forklift1,building10",building10,True
scene1::402,scene1,402,"Helicopter2, cargo1","helicopter2,cargo1",,False
scene1::403,scene1,403,"Fork2, Cargo2","forklift2,cargo2",,False
scene1::404,scene1,404,Building7,building7,building7,True
scene1::405,scene1,405,"cargo2, Building9, Direct1","cargo2,building9,truck1",building9,True
scene1::406,scene1,406,"Fork2, Helicopter2","forklift2,helicopter2",,False
scene1::407,scene1,407,"Helicopter2, cargo2","helicopter2,cargo2",,False
scene1::408,scene1,408,"Fork2, Cargo2","forklift2,cargo2",,False
scene1::409,scene1,409,"Fork2, Platform1, Helicopter1","forklift2,platform1,helicopter1",,False
scene1::410,scene1,410,Building4,building4,building4,True
scene1::411,scene1,411,"Helicopter1, Cargo1, Building4","helicopter1,cargo1,building4",building4,True
scene1::412,scene1,412,"Direct1, Platform1, Direct2","truck1,platform1,truck2",,False
scene1::413,scene1,413,Building2,building2,building2,True
scene1::414,scene1,414,"Fork1, cargo1, Direct1","forklift1,cargo1,truck1",,False
scene1::415,scene1,415,Building1,building1,building1,True
scene1::416,scene1,416,Fork2,forklift2,,False
scene1::417,scene1,417,"Helicopter2, Cargo1, Platform1","helicopter2,cargo1,platform1",,False
scene1::418,scene1,418,"Direct1, cargo2, Helicopter1, Building9","truck1,cargo2,helicopter1,building9",building9,True
scene1::419,scene1,419,"Helicopter1, Cargo1, Direct1","helicopter1,cargo1,truck1",,False
scene1::420,scene1,420,Building2,building2,building2,True
scene1::421,scene1,421,"Fork2, cargo2, Direct2","forklift2,cargo2,truck2",,False
scene1::422,scene1,422,"Helicopter1, cargo2","helicopter1,cargo2",,False
scene1::423,scene1,423,"Helicopter1, cargo1, Building3","helicopter1,cargo1,building3",building3,True
scene1::424,scene1,424,"Helicopter1, cargo1, Cargo2","helicopter1,cargo1,cargo2",,False
scene1::425,scene1,425,"Helicopter1, cargo1","helicopter1,cargo1",,False
scene1::426,scene1,426,"Helicopter2, cargo1, Helicopter1","helicopter2,cargo1,helicopter1",,False
scene1::427,scene1,427,"Direct1, Cargo1","truck1,cargo1",,False
scene1::428,scene1,428,Building8,building8,building8,True
scene1::429,scene1,429,"Fork1, Cargo1, Building7","forklift1,cargo1,building7",building7,True
scene1::430,scene1,430,"Direct1, Cargo2","truck1,cargo2",,False
scene1::431,scene1,431,"Fork1, Cargo2, Helicopter1","forklift1,cargo2,helicopter1",,False
scene1::432,scene1,432,"Helicopter2, cargo2, Helicopter1","helicopter2,cargo2,helicopter1",,False
scene1::433,scene1,433,"Helicopter1, cargo2, cargo1, Fork1","helicopter1,cargo2,cargo1,forklift1",,False
scene1::434,scene1,434,"Helicopter2, Cargo1","helicopter2,cargo1",,False
scene1::435,scene1,435,Building3,building3,building3,True
scene1::436,scene1,436,"Helicopter2, cargo1, Cargo2, Fork2","helicopter2,cargo1,cargo2,forklift2",,False
scene1::437,scene1,437,Helicopter2,helicopter2,,False
scene1::438,scene1,438,"Direct2, cargo1, Platform1","truck2,cargo1,platform1",,False
scene1::439,scene1,439,"Helicopter2, cargo1","helicopter2,cargo1",,False
scene1::440,scene1,440,"cargo1, Building3, Direct1","cargo1,building3,truck1",building3,True
scene1::441,scene1,441,"Helicopter1, Cargo1","helicopter1,cargo1",,False
scene1::442,scene1,442,"Helicopter2, Cargo1, Platform1","helicopter2,cargo1,platform1",,False
scene1::443,scene1,443,"Direct2, Fork2","truck2,forklift2",,False
